,adición,aguante,aguijón,ajedrez,albañil,alcance,aliento,anciana,aptitud,aristas,arreglo,atuendo,audacia,aullido,balanza,bandera,barbero,barriga,biólogo,bohemia,cadáver,camisón,cantina,capilla,capitán,caracol,caverna,cazuela,cigüeña,conjuro,cosecha,costura,crucero,cáscara,delicia,descaro,detalle,dulzura,emoción,encanto,entidad,entorno,espanto,espiral,estatua,estatus,evasión,facetas,fealdad,felinos,fortuna,frenesí,galaxia,gatillo,granito,hoguera,hormona,huracán,indicio,inercia,influjo,ingreso,intriga,lamento,letrero,levante,llanura,lucidez,lágrima,lástima,madrina,madurez,malicia,mandato,mejilla,milagro,misiles,modales,monarca,montaje,místico,neblina,nitidez,padrino,palacio,palanca,pantano,panteón,parcela,pericia,pistola,planeta,poblado,premisa,pupitre,péndulo,reclamo,reflejo,regreso,reserva,resorte,revuelo,réplica,salario,sanidad,semilla,socorro,solidez,soltura,suspiro,timidez,torpeza,tributo,trámite,validez,vampiro,vanidad,viajero,vinagre,vínculo
3090,agregar,Soporte,Organo,caballo,trabaja en riesgo,Relevancia,boca,Agotada,talento,Esquina,Variables,ropa  de hombre,Valentia ,tiene distintos significados segun el maullido,medidor,Identidad,trabajador,tiene ombligo ,persona,Pintura,No esta enterrado,otorga comodidad,bar,es grande ,Dirige ,francia,mitos,rico,viajera,fórmula,Cuando uno va a recoger verduras o frutas que están listas para consumirse o utilizarse.,puede ser cosida,los viajes puedne durar meses,Cubierta protectora de vegetales y frutas,genera placer,falta de respeto,asunto,propiedad de algunos alimentos ,Tristeza,morado,Tiene una jerarquia ,hogar,Lo que genera ser testigo de violencia,Así se mueven algunas cosas en el viento,personas estáticas,sumision,ágil,Miedo,desproporción,el mas rapido es el guepardo ,Mucho dinero,rapido,Hay estrellas y planetas,parte de una herramienta,espinilla,amenaza,sustancia química,muerte,señal ,falta de energía,poder,contabilidad,embrollo,lo siento,atractivo,Nombre alternativo del este,hoyos ,ingenio,pueden ser de pena,Pena,cristiana,viejo,estafador,Orden ,parte que indica el tamaño de los cachetes,Requiere fe,metalico,bien visto,Imposición de leyes o normas,Espacio,algo que contiene mágia,a veces peligrosa,claro,pelicula mario puzzo,una casa llena de lujos,ayuda,cerca de junglas,Son sombríos,Lugar donde se puede construir,Investigar,metalica,Gravedad ,casas ,antes de ,apoyo,balancearse,Molestia,Reacción,volver,esta oculto para el resto,Pieza elastica,agitacion,otra vez,Recompensa por un trabajo,reluciente,Plantas,gritos,Fortaleza,Describe como habla una persona,sabroso,poco efectivo,resultante de poca actividad motriz,Legal,Ejecución,Puede referirse al periodo durante el cual un alimento es seguro para consumir,no sale de dia,preocupación,Puede llegar a lugares lejanos,aliño,Referente a la unión entre dos cosas
4313,equipo,Mantenerse,Molestia,peones,construye,La meta,dientes,Sabia,destreza,lado,Vector,ropa de mijer,destreza,sonido,usada para pesar fruta,Orgullo,experto,panza ,cientifico,Alternativo,muerte,es olgaado,alcohol,van personas ,No hay nadie superior ,Se arrastra para moverse,encierro,delicioso,grande,hechizo,Se hace en distintos momentos del año,método para unir telas,Barco,Generalmente no se consume,algo que se disfruta,comportamiento,errores,puede ser el carácter de alguien ,Rabia,magia,Tiene una actividad laboral,lo que nos rodea,asombro,Existe una espiral de Fibonacci,Blanco u algún metal,amarillo,salida,caras,desaliño,animales,Buena vida,agitacion,Es muy grande,ergonómico,lunar,fuego,interno al cuerpo,peligro,sospecha,inactividad,mandato ,una señalética,incertidumbre,disculpa,Pancarta,Está relacionado con España,Vida ,perspicacia,salen de los hojos,Compasión,formación religiosa,frutas,delincuente,Se tiene que acatar ,abajo del pómulo,Escepticismo,conflicto,forma de comportarse,Trono,Diseño,representa la unión del alma con la divinidad,humedad,concepto,mafia italiana,casa grande,fisica,Pasto,tristesa,Lugar donde se puede poner un huerto,Crimen,guerra,Puede tener vida ,Personas ,lenguaje,mesa de colegio,física,Queja,Actuar rápido,atras,que tiene un dueño,Muelle,revolucion,reproducir algo,Se paga con dinero,sin manchas,Huerto,oscuridad,Firmeza,Describe como actua una persona,Consiste en exhalar aire,poco amigable,usualmente negativo,Estado,Algo que se realiza,veridico,sale de noche,inseguridad,Aventuras,amargo,Puede referirse a algo simbólico
4314,grupo,Cansancio,Mantenerse alejado,alfil,Hombre fuerte,Capacidad de obtener,lengua,Tranquila,competencia,puntos ,Cajas,ropa de niña,inteligencia,perro,juzga,nacionalidad,técnico,gordura ,investigacion,Creativo,fin,prenda,fiesta,tiene asientos,le tienen respeto ,Se desplaza lentamente,frio,chileno,elegante ,encanto,La temporada de cosecha depende de cada fruta o verdura,fácil de romperse ,Casino,"Puede ser dura, como la de las nueces",comida que deleita,falta de prudencia,imperfeccion,forma de tratar a alguien ,Temor,Asociado a la magia,un todo,ambiente,susto,Muchas escaleras tienen esa forma,Adorno,Importante en el ambito social,escape,la moneda tiene dos facetas,deformidad,carnívoros,alguien con suerte,revolucion,La Via Lactea es una galaxia,pistola,material ,madera,universal,depende del clima,pista,movimiento,el efecto de algo,ganancia,sentir interés,la acción de demostrar sentimientos de tristeza,anuncio,Puede implicar mover de abajo hacia arriba,Personas ,Viejo,por pena,Empatía,guía,palta,antisocial,No puede ser ignorado ,donde se forman los mofletes ,Acto extraordinario,aniquilar,pueden ser malo o buenos,Corona,Simulación,algo divino,frio,simple,relación de personas,castillo ,torque,Agua,deprimente,Donde las familias cultivaban sus alimentos,Cuerpo,letal,Tierra ,Tiendas ,se usa en lógica,banquillo,Fisica,Amonestacion,Respuesta,vuelta,acceso anticipado,Amortiguador,alboroto,copia,Dinero que recibe un trabajador,suave,Flores,auxilio,Dureza,relajado,Indica que alguien está cansado,individualista,Poca destreza,Gubernamental,Formal,verificacion,es palido,superioridad,Cultura,malo,Puede referirse a la relación con una empresa
4315,suma,Agotamiento,Abeja,mesa,Construccion,Alcance de un proyecto,cepillo de dientes,Arrugada,facultad de hacer algo,extremos,Fila,se genera en fábricas,oportunidad,lobo,Sirve para pesar distintos objetos,origenes,especialista,posible embarazo,plantas,rebelde,llanto,ropa,cigarros,tiene estatuas ,habla fuerte ,Tiene metabolismo lento,humedad ,es bastante líquida,bipeda,pelicula,La temporada de cosecha depende de cada fruta o verdura,diferentes tipos,Piscina,"Puede ser blanda, como la del plátano",para describir un sentimiento,sin verguenza,deterioro,ternura,Sentimiento,Puede ser una cualidad atractiva en una persona,un colectivo,objetos o personas que acompañan,feo,Los tornados toman una forma parecida,dibujo real,popularidad,huida,lugares diferenciados por limites,desarreglado,leones,Suerte ,exitacion,Hay hoyos negros,muerte,algo diminuto,calor,secreción,viento,inicio,fisica,ejercer una supremacía,un inicio,curiosidad,sentir pena,propaganda,Puede implicar enderezar algo,Planicie,Sano,llanto,Comprensión,Mujer,sabiduría,droga,Dirección ,parte donde se maquillan las mujeres,Acto fuera de lo común,destruir,si son malo o bueno dependen de la cultura,Familia Real,Mentira,en contacto con el alma,poca visibilidad ,pantalla,protección de una persona,rey,broma,Lilipads,muerte,Es una división legal de tierra,pena,arma de fuego,Enorme ,Vida ,es como una hipótesis,mesa,Newton,Peticion,Visión,retorno,ser dueño antes de tenerlo,Tensor,tempestad,repetición,Renta recibida por el trabajador,higiene,Frutas,ayuda,Resistencia,libertad,Indica que alguien está molesto,problema social,Falta de habilidad,impuesto,Misión,importante,ser no real,preocupado por el que diran,Algunas personas creen que existen viajeros del tiempo,sabor fuerte,La mayoría de los vínculos se pueden romper
4316,agregar ,Fuerza,Puntiagudo,blanco,Gordo,objetivo,chicles,Lenta,predisposicion,linea,Lista,atuendos de moda,exito,dolor,Las personas también se pueden pesar en balanzas,sentimiento de unidad,barbería ,parte baja del torso ,profesional,liberal,lagrimas,polera,cervezas,tiene libros ,es claro ,Su caparazón le sirve para ocultarse,cueva,comida típica chilena,Vida,invocación,Productos,linea visible de una unión,Vacaciones,Lo que se pela para consumir el contenido,expresa lo que te provoca un estimulo,valiente,Pequeño,azúcar,Momentaneo,Puede ser una cualidad de objetos ,una empresa,objetos o personas que acompañan,tetrico,geometria,Estático,Posición que una persona ocupa,fuga,tiene limites,monstruosidad,trigres,Futuro ,delirio,Conjunto,balas,una espinilla,sentarse,crecimiento,bunkers,comienzo ,reposo relativo,influencia sobre algo,dinero,duda,reclamar por un dolor,atención,Puede implicar la acción de despegar algo,lugar exteso y vacio,Ver,llorar,Ponerse en el lugar del otro,Casamiento,firmeza,fiesta,Obedecer ,donde va la barba de los hombres,Acto improbable,Ojivas,son practicados por las personas,Linaje ,Actuación,delicado,niebla,pixeles,cariño y respaldo,ostentoso,fuerza,Bosque,frio,Relacionada con planeamiento urbano,obstáculo ,peligrosa,Tiene radio,Hostales ,se usa como idea,colegio,Fuerza,Exigir,Espejo,reversa,protegido,Rebote,protestas,una consecución,Dinero entregado por el empleador,bueno para la salud,Verduras,asistencia,Compacto,habilidad,Se puede hacer inconscientemente,sicologico,Ineptitud,pago al estado,papeleo,legal,criatura mitológica,irrelevante,Aventurero,olor fuerte,Puede interpretarse como algo intangible que une a dos cosas
4317,matemáticas,Resistencia,Dolor,negro,Viejo,donde puede llegar,pasta de dientes,Se mueve poco,vocación,recta,Almacenar,atuendos de temporada,aprovechamiento,luna,Existen de distintos tamaños,compartir,peluquero,guata ,conocimiento,carrete,cementerio,informal,local,arquitectura ,busca lo mejor ,Su alimentación es vegetariana,poca luz,caliente,Ave,exorcismo,Mercadería,confección de prendas,Trópico,Es amarga o de mal sabor,sabroso,desatinado,Puede afectar de gran manera,amor,Reacción química,Se asocia a sentir agrado ,no esta vivo,Con lo que interactuamos,frio,caracol,No se mueve ,Puede ser relacionado a la sociedad o empresas,elusion,muestra distinción entre ellas,horrible,leopardos,Adivinar ,locura,Parte del universo,guerra,piedra que se utiliza en la construcción,vacaciones,desarrollo,desastre natural,prueba,estados,control sobre algo,personas,pregunta,perder a alguien,encabezado,Puede usarse para referirse al estado de ánimo,lugar exteso y vacio,Plenitud,por alegría ,Sentir lo que vive alguien más,Bebé,responsabilidad,mala intencion,Lo ordena alguien superior ,debajo de los ojos,Algo imposible,Submarino,son intangibles,Ingaterra,Estructura,con gracia,bruma,definicion,cariño y respaldo,monarquia,abrir,Cocodrilo,dolor,Puede ser propiedad privada,dificultad,Peligro,Tiene ejes ,Comida ,noticia,escuela,Gravedad,Demandar,Verse a uno mismo,regresar,nadie más lo puede tener,Conservacion del movimiento,basta de conformismo,sigue despues de un terremoto,Dinero,salubre,Comienzo,apoyo,Que no se mueve,gentileza,Es el nombre de un postre hecho de merengue,miedo a la sociedad,Incompetencia,porcentaje de ventas,pagar algo,aceptado,chupa sangre,altanero,Nomada,dos tipos,Existe un vínculo afectivo materno que es esencial en el desarrollo
4318,sumar,Dificultades,Herida,juego,Bigote,cercania,Boca,Retirada,inclinación a una tarea,entre dos lados,Programa,cubre a los humanos,intrepido,coyotes,Los tamaños dependen de que objeto se desea pesar,diferenciacion,hábil ,Estomago,microorganismos,noche,fallecimiento,se utiliza para dormir,lugar en donde se juntan amigos,culto,lider,Vive en el agua o en tierra,bar,tiene verduras,Nacimiento,relacionado a lo sobre natural,Materia Prima,de cualquier color,barco,Textura desagradable al comer,disfrutable,chistoso,Error,glucosa,Cambio de ánimo,hechizo,se compone de varias partes,influencia en una persona,ojos grandes,bobina,Solida ,Puede ser relacionado a la sociedad o empresas,ahorrar ilegalmente impuestos,etapas,imperfección,salvajes ,Probabilidades ,fiesta,Cuerpos celestes,disparar,mesones de cocina,Tiene fuego,reproducción,Peligro,señal ,mantención de la situación,manipulación de algo,local,Investigar,quejarse,información,levitación,campo verde y extenso,Pañal,emoción,Cariño,Grande,canas,crueldad,Acción ,suaves en niños,Divino,Militar,existen muchos,Lider ,Contrucción,forma de vida de una persona,humo,fotografia,titulo cristiano para generar vinculo con un niño,torres,barra,Apestoso,mitos,Puede ser propiedad pública,piedra en el camino,Defensa,Rota ,Granjas ,supuesto,antiguo ,Cuerda,Protestar,Rebote,trayecto,no se comparte,Almacenador de energia mecanica,bulla,copia,Sueldo,casto,Recurso,colaboración,Respaldo,facilidad,Puede ir acompañada de un sonido de discomfort,característica de una persona,Incapacidad,honor a alguien,diligencia,reconocimiento,vivió en Transilvania,narcisismo,Curioso,liquido ,Se puede referir a un link de una página web
4319,aumentar,Paciencia,Metodo de defensa,estrategia,Hombre,lejania,Calor,Anticuada,Valor,parte de un cuerpo geométrico,Numeros,abriga,vivaz,tristeza,Peso,patriotismo,capaz,Comida Chatarra,universidad,vida de ciudad,vejez,holgado,lugar en donde se vende comida,ceremonia,guia,Vive en el agua o en tierra,cavidad,nutritiva,Buena noticia,espantar espíritus,Fruto,comúnmente blanca,mar,Evita que lo que recubre se pudra rápido,comestible,depende del contexto,Imperfección ,pastelería ,Expresión,mundo maravilloso,algo que representa a muchos,define nuestro actuar,lugar oscuro,inductor,Es de distintos materiales ,Es la situación de alguien,librarse de algo,comentos,demacrado,son libres,Juegos de azar ,juventud,Familia,Parte de una pistola,color blanco y gris oscuro,Sirve para calentarse,molécula,Aire,rastro,impulso,sin posibilidad de actuar ,ganancias,Detective,llorar por una perdida,cartel,peso,campo verde y extenso,Niño,sensibilidad,Piedad,Papá,interior,que contine maldad,Inmediato ,Cara,Inexplicable,Poder,comportamiento ,Tiene seguidores ,Disuación,una manera de ver la vida,calima,mega,Mafia,princesas,influencia,Estancado,historias,Lugar donde viven personas,peligro,Personal,TIene luna,Animales ,hipótesis,asiento,Oficina,Llamado,Involuntario,recorrido de vuelta,guarda,Compresion,perturbar,imitacion,Paga,limpio,Materia prima,protección,Estabilidad,gentileza,Puede indicar que la persona está ansiosa,es un estado de animo,Boberia,alabar algo,gestion de algo,conforme a la razon,es un libro,soberbia,Conocedor,acidez,conexion
4320,más,Tolerancia,Pinzas para sacarla de la piel,torre,Sudoración,meta,Olor,vieja,Don,figura,flores,es de telas,habil,pedir ayuda,Equilibrio,unidad ,profesional ,Vida poco saludable,animales,Arte,tiempo,intimidad,lugar en donde se vende bebidas,religion ,audaz,Secreta un líquido semi-viscoso,profunda ,especial para invierno,buen augurio,ficcion,Resultado,coser,relajante,Frágil,placer,depende de a con quien se es descarado,innecesaria ,postres,Impulso,algo fantastico,algo abstracto,factores externos,cementerio,galaxia,Generalemente de piedra ,Puede tener un carácter económico ,distraerse,experiencias,disonante,peludos,Casino ,noche,Agrupación,Parte de una escopeta,material utilizado para acabados finos ,Sirve para cocinar,mensaje,Devastador,origen,actividad,sin posibilidad de determinación,mercado,Lupa,arrepentirse ,lema,press banca,lugar parejo,habil,persona ,Sentimiento,Dinero,autonomía,solo tiene malas intenciones,Directo ,cachete,Increíble,Defensa,buenas costumbres ,Impuesto ,Unión,un posible objetivo de alguien,fosca,tamaño,bautizmo,edad media,mejorar,tipo de geografía en la tierra acuosa,un mausoleo,piscina,costoso,Policía ,un mundo entero,ropas ,presuposición ,clases,Jefe,Querellarse,Veloz,retorno,aparta,Deformacion,cambio,no original,Remuneracion,que no esta contaminado,Vida,desesperación,Duro,gracia,Puede referirse a un periodo de tiempo muy corto,falta de seguridad en si mismo,Necedad,exigencia publica,movilizarse para realizar algo,acertado,sale de noche,presumir,Busqueda,fermentación,URL
4321,sumar,Motivación,Clave para las abejas,enrroque,Barril,rango,Amor,tercera edad,Prueba,lineas,pack de flores,conjunto de ropa,osado,sufrimiento,Justicia,patria,peluquero,Ejercicio,estudio,Queen,funeral,pijama,elemento para llevar liquido,grupo,inteligente,Necesita poca energía para vivir,natural,comida casera,fertilidad,ritual,Ganancia,Ropa,grande,Dura,agradable,es relativo,Importante en una relación,bondad,Estímulo,que agrada demasiado,compleja descripcion,aquello preestablecido,sentimiento,garabatos,Es tallada ,No necesariamente es mejor en mayor cantidad ,no hacerse cargo de algo,aspecto,subjetivo,ojos rajados,Depende de cada persona ,exaltación,Energía,Parte de un arma,esculturas y monumentos,Se usaba para quemar personas en la antiguedad,excreción,EE.UU. ,evidencia ,Newton,sin elección propia,movimiento,Bigote,escuchar a alguien reclamar,bando,sentadilla,limpio y verdoso,capaz,liquida,Emocion,Blanco,estabilidad,busca hacer daño,directriz,pomulo,Cambio,Peligro,maneras,Por generaciones ,Falso,relacionado a lo misterioso,oscuridad,espacio,tío,Castillo,favor,estanque de agua,lugar de muertos,hectareas,requiere esfuerzo,Militar,Masa gigante en el espacio,mucha gente,suposición ,Banco,Tarea,Solicitar,espejo,de vuelta al lugar de inicio,protege,Rulo,torbellino,consecuente a algo,Mensualidad,pulcro,Natural,peligro,Cuadrado,Agilidad,Puede referirse a la última exhalación de una persona,falta de seguridad en situaciones nuevas,Estupidez,leyes,clave unica,original,tiene colmillos,llamar la atención,Alguien que esta de paso,picor,relación
4445,agregar,Resistir,Abeja,juego de mesa,Brocha,maximo,Respiración,cariñosa,Test,esquinas,floral,vestimenta,atrevido,pena,Compara,nacionalidad,atención personal,Abdominales ,Celula,Poco convencional,horror,descanso,especie de bodega,reuniones de personas,analitico,Su ciclo de vida es mucho más corto que el humano,parte de la alegoría de Platón,se sirve en almuerzo o cena,la que trae a los bebes en cuentos,excepcional,Cultivo,Costurera,vacaciones,Protector,gozo,Hombre,atención ,sensibilidad,Manera de comunicar,magia sobre algo,su existencia depende de otra cosa,el lugar que estamos,miedo,circular,Puede tener letras ,nivel,falta de responsabilidad,variacion,cada vez menos juzgado,maullido,No se ve,ánimo,Vía Láctea,Utilizada para realizar el disparo,esculturas y monumentos,Se asociaba a la brujería,concentración,Desastre natural,rastro ,Fisica,influir ,positivo,Gorro,perdon,indicar algo,musculos,limpio y verdoso,claro,salada,negativo,Dios,Relacionado a la salida de la etapa infantil,villano,obligación,Piel,Resultado,Gobiernos,formas,Grande ,Conspiracion,Dios,calígine,claridad,responsabilidad,Son grandes,parte de un sistema,cumulo de agua sucia,entierro,pasto,experto,Puntería ,orbita al rededor de una estrella,repleto,razonamiento,Escritorio,verdadero o falso,Chile,imagen,llegar,ocultar,Alambre,Agitacion,respuesta a alguien,Retribucion,aseado,Planta,indefención,Avión,Facilidad,Puede indicar deseo,miedo a algo,Fallo,dinero,registro civil,confiable,muere con la luz,siete pecados capitales,Se transporta,ensaladas,pueden ser afecutosos
5287,poner,Resilencia,Punta,necesita inteligencia,cabaña,impacto,calor,pequeño,Tarea,geometria,arreglo de flores,traje,temerario,lobo ,Importancia,simbolismo,atención para hombres,Panza,Alelo,Estilo de vida,Muerte,dormir,lugar comercial,velorio,dirige,Es consumido por humanos,Cabernicola,tiene carne,transporta agua,magia,Agricultura,Tiendas,diversión,Fruta,tierno,Cara,preocupación ,cariño,Contraria a la razón,buena persona,intangible,condiciona el actuar a las personas,salto,orden,Representa algo o alguien,posicion frente a otro,Metro,dinamico,nadie quiere ser ,garras,Riqueza ,pasión,Son estrellas,Palanca,arena,Se puede usar en ritos funerarios,sustancia química,Campo,pista,Fuerza,Convenser,abierto,Perro,daño,Playa,palanca,Campo Fértil,capacidad de ver claramente,pequeña,dolor,lazo,Se logra entre los ultimos años del colegio y la universidad,perverso,dar una orden a alguien ,Sonrisa,Bendición,bomba,modos,Imponente ,disfrazar algo,Misterio,Noche,pureza,autoridad,Antiguos,parte de un engranaje ,laguna,tumba,quincho,habilidad,Campeonato,masa de tierra gigante,lugar habitado por un grupo,determinante,Utilizado para apoyarse,juego,Empresa,otro mundo,volver a un lugar,esconder ,Tubería,Revoloteo,sismo,Honorario,salud,Ciclo,ahogarse,Mano,Destreza,decepcion,miedo,Equivocacion,homenaje musical ,"electricidad, agua, gas",Aprobación de algo ,no se refleja en un espejo,arrogancia,Diambulante,manzana,humanos
5288,añadir,No perder entusiasmo,Dolor,desteza,seguro,distancia,aguantar,canoso,Profesor,piramide,trabajo de maestro,prendas,inteligente,noche,Themis,cultura,cuidado personal,caricia,Sangre,Desorden,Descomposición ,pijama ,lugar en donde se va para distraerse,lugar tenso,motiva al resto,Molusco,Cueva,comida,ave,hechizo,Para comerciar,Hilos,embarcacion,Se Pela,encanto,Palma,pequeño,compasión ,Vive en la mente,tierno,algo abstracto,espacio fisico o psicologico,escalofrio,Forma cilindrica alargada ,Pesada ,poder otorgado,Dinero,mandala,fisico o por dentro,animal salvaje,Dinero ,ímpetu desproporcionado,Son planetas,Pieza pequeña,trigo,Se hace al aire libre,sangre,aire en rotación,parte de una investigación,Roce,Pensamiento,tienda,Caso,tristeza ,Carretera,Fuerza,contiene vida,objetividad,llorar,pena,cariño,Es fundamental para entender las responsabilidades en la vida,cuernos,hacer que otros hagan lo que dices,Margaritas(al sonreír),asombroso,proyectil autopropulsado,forma de actuar,Conocido,escenario de mentira,Universo,Lluvia,transparencia,seguridad,Lujosa,maquinaria ,agua estancada ,sepultura,casa,competente,Entrenamiento,lugar en el espacio,espacio fisico,importante,Utilizado para poder escribir mejor,colgante,Traición,espasmo,reencuentro de personas,cuidar,Lata,Alboroto,consecuencia,Recompensa,sano,Raíz,emergencia,Figura,Habilidad,estres,temor,Pierna,estado,carnet,Implica un correcto funcionamiento de algo ,está muerto,altanería,Turista,alivia la picada de jelly fish,computadoras
5289,aumentar algo,Evitar decaer,Alergia,planificación,cuida,magnitud,olor,calvo,capacidad,puntiagudo,arreglo de globos,indumentaria,vivo,luna,Símbolo,representatividad,un lugar de relajo,pelos,Doctor,moda,Antepasados,noche ,lugar en donde se va para beber,distante,experimentado,Lento,Hogar,sopa,blanca,formula,Alimentos,Telas,viaje con varias paradas,Mayoritariamente incomible ,deleite,Golpe,significativo,forma de ser de una persona,sentimiento,lindo,una cosa,espacio fisico o psicologico,grito,Diferentes elementos como amortiguadores tienen esta forma,Resistente ,sensacion de uno sobre otro,Injusticia,aspecto,fisico o por dentro,gatuno,Riquezas fortuitas,agitación,Gravedad,Se presiona,mineral,Se utilizaban para rituales,Pastilla,choque de aire frio y caliente,una suposición ,Parabola,No fluir ,vivienda,Crimen,tristeza,Auto,Viento,lugar tranquilo,realidad,pena,empatia,conexión,Asociado a los jovenes,enojo,algo que se debe cumplir ,grasa,extraordinario,los misiles son armas de destrucción masiva,propio de las personas,Superior ,armar algo,Magia,Frio,limpio,responsable legal ante cualquier eventualidad,Donde vive el rey,dispositivo de acción,mucha vegetación ,cementerio,arboles,detective,arma,lejano,donde vive la humanidad,el inicio de una conversación ,Para estudiar,collar,Injusticia,respuesta involuntaria,volver atras,almacenamiento,Rizos,Desorden,reemplazo,Jornal,higiene,Inicio,riesgo vital,Metal,Gracia,alivio,nervio,Moretón,Homenaje,hacer fila,Es positivo ,sangre,sentirse superior al resto,Mochilero,vino,no material
5290,echarle cosas a algo,Calle 13,Bicho,anticipar los movimientos del contrincante,equipo,medidas,respirar,lento,ser bueno en algo,opciones,arreglos de maquinas,uniforme,perspicaz,perros,Ícono,futbol,donde se arreglan barbas,ombligo,Genética,estilo,Cuerpo,sueño ,bar,union de personas,firme en su actuar,Hervíboro,Seguridad,chileno,que tiene un pico,tecnica,sembrar,Basta,viaje en océano,Cubierta,bueno para los sentidos,Enojo,importancia,amabilidad,felicidad,bonito,sobrenatural,ambiente,reflejos,Es una forma en 3D,Colorida ,nivel social,Cobarde,punto de vista,mala cualidad,salvaje,riquezas acumuladas,entusiasmo,planeta,Empuja la bala del arma,geoda,Se utilizaba en celebraciones o fiestas,Mujer,la naturaleza es quien origina los huracanes,puede ser material,Caer,atascado,Entrada,misterio,llorar,Viaje,grúa,parejo,atento,lamento,tristeza,vida,Implicado al paso de dejar de ser joven y ser adulto,buscar beneficio propio,obligar a otros,rubor,sobrenatural,gran cantidad de humanos seres vivos mueren por los misiles,variable ,TIene subditos ,armar una pelicula,Secretos,Calma,resplandeciente,cariño con el padre,Patrimonio,que sirve para el inicio de algo,arboles,funebre,animales,destreza,objeto pequeño capaz de herir o matar ,redondo,primeras civilizaciones,que da paso a un debate,Mesa de escuela,pendiente en una cadena,Tapar,luz reflectada,retorno,donde se guardan cosas,Mujer,Confusion,similar,Gratificacion,estado,Esperanza,susto,estado de la naturaleza,Descaro,relajo,irresolución ,Niña,Canción ,Latero,Resultado de una evaluacioón,mitad animal,excentricismo,Desplazarse,acido,símbolico
5291,ponerle cosas a algo,Chile,Miedo,estrategia,soledad,meta,resto de comida,edad,desarrollo de capacidades,alternativas,Floral,gala,temerario,halloween,Herramienta,himno,habilidoso con navajas ,Esteriotipo,Delfín,tranquilidad,Persona,dormir ,alcohol,religion,inspira respeto,Pequeño,Antiguedad,caliente,gran tamaño,invocacion,plantas,arreglo,gran barco ,naranja,postres ,Rojo,Especifico,gusto de comida,tristeza,simpatico,paranormal,naturaleza,tiritar,circulos,inmortalización de un momento o persona,nivel,Tirano,caras,Berruga,doméstico,suerte ,excitación,universo,interruptor,dureza,brujas,Celula,Peligroso para los seres vivos,puede ser una circunstancia,Lado,Taco vehiculos,Recepcion,ansiedad,perdida,Manejar,montacargas,ventoso ,alertas,sollozo,compasion,familia,adulto,intencion personal,imponer un acto sobre otro,pellizco,suerte,"las grades potencias, tienen un gran poder por sus misiles",educacional ,Tiene guardia ,montaje de peliculas,tarot,Lobo,luminoso,cariño con la madre,construcción,trasmite fuerza,fango,tétrico,campo,eloucente,objeto pequeño capaz de herir o matar ,enorme,lugar rústico,que da paso a un razonamiento,Mesa,indica algo,Cliente,reaccion frente a estimulo muscular,devolver algo a su dueño,pedir con anticipación,Pelo,Turbacion,Copia,sueldo,prevención,planta,miedo,se puede crear en un cuerpo,Pericia,exhalación,encogimiento,Pinta,Actuación ,Obligación,algo regulado,colmillos,Moda,paises,agrio,inalambrico
5292,adjuntar,Resistir,Terror,pensar mucho,alejado de la ciudad,logros,humo,señora,sobre el promedio,estrellas,Vestimenta,banquete,sin miedo,terror,Mide,escudo,habilidoso con tijeras,Piel,Mar,hipster,Animal,comodidad,risas,lugar de oracion,seleccion de futbol,Baboso,Cazar ,invierno,con dos alas,sobrenatural,plantar,coser,viaje de placer ,fruta,gustos,Susto,pequeño,propia de los dulces,fugaz,solidario,inmaterial,espacio amplio,aceleración de los latidos,apariencia de caracol,recuerdos de una nación,respeto,pasar por alto,luna,Bruja,félido,tener la suerte a favor,exacerbación ,meteorito,detonador,roca,comida,Sangre,son tubos de aire gigantes que arrasan todo a su paso,parte de una dedución,inmovil,flujo,Cantidad de dinero ganado en una actividad,sospecha,oportunidad fallida,Tránsito,Relacionada con la palabra levantar ,plano,despierto,gota salada,piedad,capacidad,responsabilidad ,asociado al color rojo,acto inmediato,margarita,gente alude a dios,los misiles traen sufrimiento al planeta,parte de una buena educación,Quien manda,combinar varias partes,ocultismo,Luna,deslumbrante,madurez,dirigida a la nobleza,control de pesos,vegetación acuática,Roma,naturaleza,audaz,algunas personas sientes poder al tener un arma,puede contener vida,hay poca tecnología,que da paso a una discusión ,Puesto ,direccion,Guante,agua,volver al origen,se ahorro,amortiguación,Jaleo,Plagio,dinero,cuidado,brote,desesperación,la materia puede ser solida,Desenvoltura,gemido,cortedad,Escondidas,Restaurante ,Pedidos,legal,estaca,joyas,ciudades,fermentacion,mediante cable
