adición,aguante,aguijón,ajedrez,albañil,alcance,aliento,anciana,aptitud,aristas,arreglo,atuendo,audacia,aullido,balanza,bandera,barbero,barriga,biólogo,bohemia,cadáver,camisón,cantina,capilla,capitán,caracol,caverna,cazuela,cigüeña,conjuro,cosecha,costura,crucero,cáscara,delicia,descaro,detalle,dulzura,emoción,encanto,entidad,entorno,espanto,espiral,estatua,estatus,evasión,facetas,fealdad,felinos,fortuna,frenesí,galaxia,gatillo,granito,hoguera,hormona,huracán,indicio,inercia,influjo,ingreso,intriga,lamento,letrero,levante,llanura,lucidez,lágrima,lástima,madrina,madurez,malicia,mandato,mejilla,milagro,misiles,modales,monarca,montaje,místico,neblina,nitidez,padrino,palacio,palanca,pantano,panteón,parcela,pericia,pistola,planeta,poblado,premisa,pupitre,péndulo,reclamo,reflejo,regreso,reserva,resorte,revuelo,réplica,salario,sanidad,semilla,socorro,solidez,soltura,suspiro,timidez,torpeza,tributo,trámite,validez,vampiro,vanidad,viajero,vinagre,vínculo
agregar,,miel,['conocimiento'],casa,persona,,movilidad reducido,común,perspectiva,preparacion objetivo,disfraz,experiencia,,['equilibrio'],nacionalidad,"['bigot', 'barba']",estomago,['estudioso'],republico checo,descomposición,,,religión,lider,['cachito'],cueva,rica,ave blanco,brujerio,['resultado'],alto,mar,aislamiento,apetitoso,sinvergüenzura,dificil notar,azucar,['amígdalar'],['atractivo'],malignar,hábitat,miedo,galaxia,['grande'],valor,ley,efectivo,betty,['cazador'],busqueda,imparable,grande,disparar,diferente tipo,fogata,uso popular,catastrofir,signo,colegio,tipo manipulacion,entrar sistema,conocimiento,tristeza,['dar indicación'],liga,plano,alerta,['secreción ojo'],empatir,guía,experiencia,maldad,orden,cachete,inesperado,['guerra'],regla social,absolutismo,recreacion,espiritual,peligroso,brillantez,personaje película mafioso,lugar grande,fuerza,['poder ser agua dulce salado'],dedicado múltiple deidad,terreno,malicia,['causa seguridad persona'],['cuerpo celestar'],familia,afirmacion,mesa escuela,servir hora,rabio,abilidad,retractar él,gardar futuro,espiral,conflicto,copia,pago servicio,['salud'],origen,andino,rigido,flexibilidad,cansancio,miedo,equivocación,mostrar respetar,deber cumplir,cierto,murcielago,belleza,aventurero,liquido,afectivo
añadir,,colmén,['regla'],sue él,proyectil,,cuidado,llegar esfuerzo,geometer,pieza musical,ropa,emprender,,['medicion'],color,['afeitar'],cuerpo humano,['capaz realizar buen indagación'],catolicismo,asesinato,,,iglesia,barco,['baboso'],hueco,nutritiva,ave zancuda,alquimia,['fruto'],cierre,pasear,conservacion,papas frita,actuar disimulo,específico,manjar,['sentimiento'],['magico'],bondadós,ámbito,súbito,logaritmico,['firme'],paso,moroso,enfrentar él diferente escenario,horrible,['efectivo'],suerte,sed,extenso,apretar,poder pulir,señal humo,poder traer enfermedad,destruccion,accion,universidad,tipo influencia,unir él,información,arrepentimiento,['palabra dibujo'],maserati,animal,atento,['liquido producir ojo'],tristeza,responsabilidad,intelecto,intención provocar perjuicio,deber hacer,carrillir,positivo,['peligroso'],aprender casa,modelo gobierno,opinion,literatura,dejar ver,claro,guía,lujoso,desplazamiento,"['además reptil anfibio', 'todo clase insecto ave']",dedicado múltiple difunto,tierra,avispado,['utilizar crimen'],['orbitar estrella'],lugar dependiente ciudad,considerar verdad investigar si verdadero falso acusación,asiento mesa,sonido fuerte,malo experiencia,arquero,opción arrepentir él,conservar alimento,fuerza,alborotir,temblor,costo trabajo,['capacidad mental intacto'],cultivo,petición,físico,tranquilidad,exclamación,baja autoestima,inhabilidad,admiracion,lento,certero,beber sangre,orgullo,desligar origen,aliñado,jurídico
sumar,,reina,['movimiento'],tratamiento persona,red social,,débil,efectivo,contorno,conjunto flor,conjunto,precaucion,,['comparacion'],figura,['confianza'],organo,['inteligente'],ateismo,putrefacción,,,creencia,persona mandar,['comestible'],peligro,,ave cuello largo,bruja,['esfuerzo'],hilo,piscina,corteza,gourmet,falta respetar,regalo,chocolate,['positivo negativo'],['embrujo'],espiritu,circunstancia,horror,vórtice,['tallado'],instante,deudores,tomar tiempo,asqueroso,['nocturno'],azar,pasion,abarcar entorno,boton,servir decoración,leña quemado,controlar desarrollo adolescencia,impredecible,idea,dificil,determinar comportar,dinero,saber,disgusto,['palabra dibujo'],equipo españa,pasto,claro,['bota llorar'],acuerdo resultado,mentoer,desarrollo,licor agregado café,instrucción pagado,rostro abultado,probable,['amenazador'],regla básico,modelo europa antiguo,hacer creer,falso,aparecer frío,definido,segundo padre,costoso,peso,['barro'],templo antiguo roma,campo,viveza,['utilizar proteger'],['poseer luz propio'],limitado recurso,supuesto,colegio,reloj,crítica,piloto,casa,antiguo,plateado,agitación,desempatar,alto bajo,['neurotípico'],comenzar nuevo vida,auxilio,molecula junto,confianza,exhalación,inseguridad,físico mental,compensacion economicar,burocracia,concreto,leyenda dracular,confianza,reaccionar circunstancia,condimento,conexión
agregar,,irritación,['predecir movimiento'],costoso,medida,,abuela,mejor persona,figura,creacion conjunto,zapatilla,tranquilidad,,['herramienta'],concepto asociado,['descanzo'],cuarentena,['efectivo'],pensamiento,asqueroso,,,sacerdote,mayor ranguir,['pequeño tamaño'],cuidado,,ave pata larga,juego,['perseverancia'],tela,cacino,fruta,jugoso,atrevimiento,característico pequeño,tierno,['positivo negativo'],['atracción'],muerto,condición limitar acción,feo,circular,['esculpir'],requisito,saltar,necesitar ser evident,vomitivo,['buen dormir'],incontrolable,agitacion,cosmico,presionar,duradero,prehistorio,crucial,gran escala,descubrimiento,tedioso,alterar actuar,trabajo,misterio,aceptar resultado,['transmitir mensaje'],parar él,arbol separado,mentalmente sano,['lagrima pena'],perder,enseñanza,emocional,inclinación actuar malo fé,mensaje,cachetonar,esperanzador,['letal'],conducta,jerarquir,omitir,creencia,invierno,resolución,bautismo,exclusivo,fisicar,['mojado'],cementerio,campestre,aprovechar oportunidad circunstancia,['matar'],['poder poseer atmósfera'],pequeño,idea previo conclusión final,mesa tapa,tiempo,disgusto,velocidad,volver,disponible caso emergencia,físico,ruido,replicación adn,descuento ley,['ambiente limpio'],planta,ayuda,duro,seguridad,estr,verguenza,físico mental,heroe,fila,indudable,beber sangre humano,soberbiar,dinero,ensalado,lazo
incorporar,,,['planificar'],maestro,información,,nieto,cualidad,linea,cosa similiar reunido,traje,valor,,['peso'],significado,['negocio moda'],gordo,['estudioso'],artístico,vida,,,eucaristiar,poder,['silencioso'],oscuridad,,ave delgado,rol,['produccion'],aguja,viaje,bordar,chef,actitud desafiante,casi imperceptible,miel,['reacción situación'],['amor'],deidad,marco,espantapájaro,giratorio,['persona importante'],condicion,pagar,difícil,horripilante,['tenaz'],presente día día,desenfreno,astral,jalar,arena,supervivencia,sustancia químico,tormenta,señal,diagrama cuerpo libre,autoridad,contrato,preguntar duda,negar,['colorido'],ascender,vista amplio,capacidad tomar decisión,['lagrima alegrio'],perdido,elección,mentalidad,intención acción,tarea,hoyuelo cachete,divino,['arma'],expresión,poder entregar dios,arte,alma,poco visibilidad,enfoque,sacramentir,monarquía,resistencia,['alejado ciudad'],edificación columna cúpular,ciudad,busqueda,['metal'],"['componer material rocoso', 'gaseoso ambos']",menos accesibilidad,solución previo análisis caso,mueble,balanceo,exigencia,reaccion,retorno,comida,rebotar,estallir,batalls gallo,minimo,['salud global persona'],vida,urgencia,inmovible,elocuencia,presión,relación social,dificultad llevar cabo tarea gracia,rey,papel,discutir,leyenda dracular,creese mejor,conocer,salsar,relación interpersonal
aumentar,,,['tablerir'],construcción,publicidad,,viejo,bueno,forma,secuencia,terno,osadia,,['instrumento trabajo'],patriotismo,['navaja afilado'],flaco,['cientifico'],trasnochado,gris,,,primero comunión,capacidad,['bar'],humedad,,ave traer beb,amarrir,['gente campo'],tapicerio,navío,exterior,placentero,desfachatez,realizar minuciosamente,suave,['reacción suceso'],['felicidad'],energía,conjunto,hallowear,resor tú,['busto'],posición,responsabilizar él,cara,horrible,['peludo'],resultado positivo,locura,espacio,accionar,piedra,calor,secreto,viento,suposicion,físico,lider,deber,suspenso,perdido,['visibilidad'],surgir,poco obstaculo,capacidad percibir interpretar realidad,['llanto niño'],frustracion,mujer,fisiológico,manera ser persona,persona autoridad lso entrega,cachetado rostro,dios,['desarrollo cientifico'],costumbre,injusticia,teatro,verdadero,blanco,visto,persona,casa excesivamente grande,balanza,['inospito'],edificio,lote,investigación,['fuego'],['generar partir nebulosa'],conjunto casa,asumir,escritorio,gravedad,desagrado,entrenable,retroceso,dinero,metal,agitación,rap,contraprestación,['salud físico'],pequeño,grito,quitar,verborrea,desagrado,falta hablar,estupidez,regalo,firmar,credibilidad,leyenda muerto beber sangre humano,mirar él rato espejo,joven,conservante,tiempo
combinar,,,['coordenada'],oficio,enfermedad,,comida,bueno,angulo,acuerdo,combinar,valentia,,['peso'],símbolo,['maquina especial'],cerveza,['investigador'],cultural,perdido,,,confirmación,experiencia,['espiral'],gritar,,ave alto,escobar,['trabajar tierra'],sastrerio,barco,protección,exquisitez,falta pudor,requerir precisión,bondad,['personal'],['lindo'],persona,medio ambiente,broma,fuerza,['reconocimiento'],escala,esquivar,arista,desagradable,['sigiloso'],amuleto,felicidad,universo,arma fuego,pequeño,acogedor,pubertad,destruccion,señal,movimiento,persona peso,gasto,oculto,frustracion,"['indicación', 'nombre ley']",despertar,lugar cómodo,juventud,['simbolir tristesa'],poder mas,femenino,comercial,malo intención,entregar fin,golpe,religion,['crisis'],cortesio,desigualdad social,arte,fisico,frío,imagen,cercano,realeza,tijera,['agua'],dios,plantación,policia,['daño'],['poder poseer satélite orbitar'],orden publico,prejuicio ofensivo,escolar,físico,alegato,vision,venir devueltar lugar,utilizado largo plazo,elasticidad,alborotir,respuesta líricar,cuantiar contrato,['bienestar'],arbol,solicitud,inquenbrantable,labiar,conformidad,antosocial,comete error,merecido,necesario,posiblemente verdadero,persona inescrupulosar,preocupar él cosa material,entretenido,limpieza,confianza
ampliación,,,['pieza'],repar,capacidad,,cocina,mejor promedio,cubo,flor,,perder,,['equilibrio'],orgullo,['barba grande'],dieta,['trabajar laboratorio'],fiesta,cuerpo humano,,,matrimonio,pirata,['caparazon'],fin,,ave blanco pico largo,invocacion,['cultivar'],ropa,buque,escudo,agradable,solturar,minucioso,cachorro,['felicidad'],['estético'],ayuda,lugar desarollar,temor,infinito,['lugar público'],posición,falta,forma,deformidad,['gato'],lugar,exaltación,planeta,resor tú,microscópico,descanso,embarazo,desastrar,primero conocimiento,estático,poder,cuenta,esperar,empatiar,"['indicación', 'nombre ley']",ayuda,africo,rapidez,"['gota agua', 'salir ojo']",enojo,amiga,cosecha,manera actuar,aventura,beber cacheton,imposible,['guerra'],componente cultural,mantener base pueblo,politico,espiritu,altitud,claro,amigo padre,boda,alicate,['selva'],italia,agricultura,analisis,['peligro'],['poder soportar vida'],característica común,supuesto,madera,moviemiento,injusticia,reflexion,camino devueltar,planificación futuro,elasticidad,causa ruido,repetición,retribución,['estilo vida'],furta,grave,dureza,olgado,postre peruano,temeroso,error involuntario,premio,aburrido,estadisticar,conde drácular,contrario humildad,recorrer,malo,natural
anexión,,,['estrategia'],llamar problema,limitación,,amor,destaco,interseccion dos cara,idea,,ganar,,['contrapeso'],diferenciar,['masaje facial'],hamburguesa,['delantal blanco'],excentricidad,persona vida,,,oración,persona dar orden,['huella'],oscuro,,ave blanco pico largo,vudu,['naturaleza'],arreglar,travesía,plátano,satisfactorio,falta compostura,específico,sabroso,['alegrio'],['sentimiento'],presencia obserbable,persona,sorpresa,ru él,['persona interés'],etiquetar,común,aspecto,imperfecto,['tigre'],dinero,buen animo,infinito,dedo mano,grano facial,reunión,inyectar,unido,nuevo,falta energía,dominancia,comprar,investigación,tristesa,['universal'],empujar hacia arriba,antilop,sanidad mental,['llorar ojo producir'],dilema,comadre,experiencia,incorrecto,orden,dos,inexplicable,['usar'],educacion,rey,puesto escena,teologia,montaña,fácil ver,pariente,servidumbre,tenaza,['tierra'],roma,hectárea,información,['pesado'],['forma esférico'],organización,hipotesis,mesa,fisicar,injusto,paralelo,volver,precaución,rebote,llamar atención,segundo parte,sueldo,['contacto social'],creacion,auxilio,firmeza,confianza,sonido hacer aire salir nariz,ánimo,cuidado,salvador,importante,argumento,conde pensilvannia,engreido,distancia,bueno,deber tratar cuidado
prolongar,,,['vision'],reparador,carrera,,adulto mayor,atributo,esquina,complot,,coraje,,['dos persona cada esquina'],separación,['locion especial'],engordar,['trabajar naturaleza'],vanguardismo,muerto,,,dios,hombre,['antena'],araña,,traer beb,hechacer,['campo'],crear,expedición,naranjar,deleitar,politicamente incorrecto,regalo,dulce,['sensación'],['película'],ser,actividad,repentino,tobogar,['respetar'],jerarquir,capear,personalidad,desproporcionado,['león'],felicidad,descontrol,cosmos,disparar bala presionar,fino,compartir,consumir,caribir,rastreo,cinético,influenciar,contabilidad,incógnita,enojo,['señal'],accion,naturaleza,claro,['servir limpiar ojo manera natural'],empatiar,soportir,año,moralmente malo,fuerza ley,rostro abultado,sobrenatural,['rusia'],moral,soberano,armar escenario,hinduismo,bloqueo vision,opuesto opcaco,película,historico,mango accionar cierto maquina,['sapo'],dios romano,campesino,conclusión,['malo'],['poseer anillo gaseoso alrededor'],pequeño conjunto casa,idea,colegio,relog,problema,simetrio,familia,guardar después,tensión elástico,ruidoso,continuación,pago trabajo,['relativo salud'],natural,persona pedir ayuda,perder forma,actitud,alivio,sensacion,cuidadoso,dictador,postergacion,utilidad,transforma murcielago,ser sobrado,oportunidad,alineo ensalado,riesgo
