acuerdo,agradecimiento,amenaza,ansiedad,compasión,culpa,decisión,definición,desesperación,destreza,esperanza,excusa,felicidad,ganancia ,habilidad,honestidad,obligación,obsesión,oportunidad,peligro,pensamiento,plan,razón,seguridad,sugerencia ,verdad,éxito
tratado,['dar gracias'],corro peligro bajo uno …,['desesperación'],gente religion deberio mostrar él,come demaciado,elección,['aquel lleno diccionario'],alterar persona,['dicese persona buena cualidad tema'],propio persona positiva,frase emitir tal ver él perjudicado,skittl,['niño poco'],facil realizar,buen persona,['fuerza hacer'],['desear descontrolado conseguir'],['evento poder sacar ganancia'],['poder ocurrir situación futuro'],['reflexion'],intencion,['justificación'],['camara vigilancia'],persona tomar buen desición dar,vez dificil decir él,meta logrado
memoria,['feliz recibir'],poder dañarte,['producir efecto movimiento físico involuntario'],culpa,delito,opción,['ver palabra concepto'],sentir poder respirar,['persona buena habilidad'],tener fé,poder interpretar disculpa,vacación lugar soleado caluroso,['ganar primero trabajo'],hacer esoecial característico,valor,['deber hacer'],['aspiración'],['ventana ofrecido azar'],['desastrar'],['inteligencia'],prototipo,['creer cierto'],['certeza palabra'],decir forma opinión,credibilidad,luego esforzar él alcanzar él
decision dos mas persona,['ser respetuoso'],peligro,['novio boda presentar'],sistema,pecado,elegir mejor,['significar palabra'],angustiar frente,['diferenciar persona realizar cierto actividad'],positivo,justificación,persona amada,['capital'],característico positivo destacar demá área,calificativo,['poder evadir'],['ambición'],['posibilidad'],['prevenir'],['juicio'],arduino,['pensamiento'],['mente claro'],apoyo,mentir,producir felicidad
llegar concenso,['dá persona hacer bueno'],león feroz cebrar,"['poder generar acné', 'tensión muscular', 'tics nervioso']",misericordia alguien,hacer saber mal,enfrentar él diferente alternativa,['forma das entender querer decir concepto'],incapacidad tranquilo,"['persona jugar futbol', 'deporte']",pensar cosa ir bien,decir chamullo librar él,reír,['billete'],virtud,veraz,['deber hacer'],['tener meta'],['chance'],['auxilio'],['idea'],trabajo,['creer tener todo persona'],['policia'],transmitir opción mas considerar,honestidad,lograr sentir satisfacción
tener capacidad determinar idea,['satisfecho'],hombre naturaleza,['soler ocurrir previo hecho importante'],poder sentir alguien,castigo,seleccionar base razonamiento,['característica ayudar comprender mejor palabra'],producir estrés constantemente,['hablidad'],rendir él,defensa propio evitar sanción,sensación pleno satisfacción,['satisfactorio'],tener capacidad desarrollo art manual,verdad,['adulto mas niño'],['sensación desear'],['momento exacto llevar cabo'],['pasar'],['concepto'],ingenierio,['poder contradecir'],['otorgar tranquilidad hogar'],consejo,crear falso testimonio,triunfo
llevar cabo idea tomo anteriormente,"['pedir cambio', 'dar solo']",poder perjudicarte,['codicia'],poder sentir alguno enemigo,juicio,tener distinto oportunidad,['concepto'],perder calma,['mejor'],confiar,argumento favor,alegrio,['obtener realizar alguno acción'],capacidad,mentir,['tarea'],['querer lograr él todo costa'],['opcion'],['suceder'],['plan'],borrador,['opinión'],['padre otorgar hijo mediante protección'],advertencia,real,victoria
totalmente lado,['reconocimiento'],,['desear'],perdonar vida alguien,abstracto,actuar voluntad propio,['concreto'],inquieto,['preciso'],probablidad,presentar certificado,arcoiris,['beneficiar obtener'],ser bueno,decir pensar,['si si hacer'],['especie irracionalidad búsqueda alguien'],['presentar varios vida'],['alerta'],['esperame'],boceto,['logica'],"['evitar asalto', 'intranquilidad', 'malestar', 'daño']",guía lograr,aquel innegable,logro obtenido
favor,['dios bendiga'],,['querer'],perdón,depender juicio,alternativa,['abstracta'],ansioso,['seguro'],estadístico,quitar responsabilidad,risa,['poder ser material material'],propio cada persona,obtener confianza,['poder hacer'],['persecución'],['agradecer'],['bomba'],['dejamar tiempo'],proyecto,['pensamiento'],['certeza'],recomendación,certero,realización sueño
convenio,['satisfaccion'],,['necesidad'],poder dar sentir pena alguien,variable,tomar deber elegir cosa,['todo palabra'],susto,['rapir'],analisis numerico,pedir perdón,alegría perdura,['recompenso'],abarcar distinto ambito,real,['referir si hacer'],['poder desencadenar enfermedad mental'],['dar alguien'],['terrorismo'],"['logico', 'deductivo', 'etc']",conjunto idea podriar realizar él,['mente creer'],['poco robo'],crítica,concebido real,conseguir él necesario trabajo duro
pacto,['premio'],,['impulsividad'],ser empatico alguien,sentir hacer malo alguien,elegir,['permitir entender'],efecto miedo,['genio'],año vida,perdonar,ánimo positivo,['poder simular premio'],capacidad,veracidad,['sient hacer querer'],['actúar desacuerdo razón'],['si comete error posibilidad enmendar él'],['seguridad'],['critico'],panorama,['permitir críticar'],['certeza'],observación,afirmación llevar creer real,fruto esfuerzo
estrategia,['complacer él'],,['afán'],,hacer mal,acto,['dar conocimiento'],impaciente,['facilidad'],calidad vida,,opuesto tristeza amargura,['beneficio'],poder ser blando,decir verdad,"['tener hacer tarea colegio', 'universidad']",['poder relacionado torno persona'],['nuevo camino'],['vida persona'],['permitir comunicación'],acción segui,['permitir crear argumento'],['confianza'],ayuda mejorar,hacer ser persona auténtico,cumplimiento objetivo
mercado,['gracias favor'],,['anhelo'],,sentir responsable ocurrido,siempre facil,['estar estipulada'],contrario pasivo,['habilidad realización'],confianza,,propio persona positiva,['recompenza'],intrinsica,ser mentiroso,"['padre salir', 'si cuidar hermano']",['poder ser causal amor corresponder'],['desafio'],['inseguridad'],['creer opinion'],idea,['capacidad ser humano'],['convencido'],pauta actuar bien,contrario falsedad,esfuerzo camino
tratado,['retribucion'],,['angustiar'],,experimentar remordimiento,tomar deber decidir diferente camino,['real academia español'],lugar,['capacidad mayor promedio gente alguno disciplina'],seguridad,,permitir disfrutar mejor cosa vida,['recibir despu lograr'],poder desarrollar,sinceridad,['deber'],['incapacidad dejar pensar alguien'],['hacer primero vez repetir él'],['ataque'],['idea'],paso seguir,['parte especie'],['evidencia'],manual,,luchar conseguir él
transacción,['sient despu recibir'],,['inquietud'],,sient hier alguien,decidir,['avez costar entender él'],perder control,['mayor desrrollo caracteristico positivo hacer destacar dema'],certidumbrir,,amor,['poder ser extrinseco intrinseco'],matematica,ser recto persona,['imposicion'],['incapacidad dejar pensar'],['fortuna'],['bomba'],['representación mental'],mision si poseer buen …,"['poder ser logico', 'critico']",['consentimiento'],ayudar,,mision cumplido
decision final,['gratitud'],,['angustiar interno'],,sensación molestar,,"['mas 1', '000', '000 mundo']",pensamiento malo,['habilidad'],ilusión,,realizacion personal,['realizar'],labiar,virtud,['accion inmediato'],,['ventana abierto'],['choque'],['imaginacion'],,['permitir comunicación'],['sentir protegido'],dar querer ayudar alguien realizar él tarea,,prosperar
dos mas persona,['sient alguien hacer favor'],,['desesperacion frente situacion'],,deber alguno acción situación involucra autorresponsabilidad,,,sentir persona lidiar fobiar,['leonel messi'],pensar poder ocurrir,,unobjetivo vida,['efecto esfuerzo'],especie don,cualidad destacable persona,['tiempo determinado'],,['chance'],['velocidad excesivo'],['poder ser positivo negativo'],,['motivo'],['carabinero'],dar querer guiar alguien camino correcto,,triunfar
trato,['respuesta cumplido recibido'],,['ataquedar'],,malestar,,,sentiría si sumergido agua poder salir,['rapidez'],pensar acto buen alguien malo poder darte,,gran mision,['consecuencia venta'],facilitadoro objetivo,actuar correctamente,['poder decir él'],,['opción conseguir'],['amenazar'],['ahora'],,['desencadenar suceda'],['pdi'],tipo ayuda,,lograr objetivo
desición,['después recibir regalo'],,['falta respiracion'],,incomodidad,,,sentiría si dejar respirar,['fisico'],positivo ocurrir,,desear,['poder ser monetario'],destresa,ser transparente,['mama dar mucho'],,['propuesta'],['exposicion'],['idea'],,['ser humano caracterizar poseer capacidad'],['confort'],tipo acto alguien mas necesitar guia,,conseguir meta
todo parte involucrado conforme resultado,['manera sociabilizar'],,['saber ir suceder'],,poder generar ansiedad,,,sensación producir disgusto,['pensamiento rapir'],pensar superar momento duro,,constante,['beneficio'],don,ocultar cosa deber decir,['implicar responsabilidad'],,['alternativa'],['accidente'],['imaginación'],,['desarrollar pensamiento'],['mama'],guiar,,llegar cima
conforme,['forma retroalimentar acto alguien hacer'],,['sentimiento frente adversidad'],,tender sentir luego producir algun daño,,,angustiar,['habilidad correr'],pensamiento feliz siempre entregar …,,requerir esfuerzo,['ingreso disponible menos costo total'],talento,mentir,['tarea'],,['negocio triunfar'],['malo nota'],"['razonamiento', 'conciencia']",,['logico'],['comodiad absoluto'],guiar camino correcto,,obtener beneficio
consensir,['realizar persona despu alguien hacer'],,['existir medicamento reducir él'],,forma remediar él arreglar motivo causante,,,persona sentar poder nervioso,['don'],dar fuerza seguir adelante,,depender mismo,['beneficio recibir despu haber saldar cuenta'],persona desarrollar bien actividad conocimiento,decir verdad,['ir secar ropa'],,,['si medio incendio'],['divagación cerebral'],,['correcto'],['proteccion'],directriz,,buen resultado
beneficiar ambos parte,['cortesía'],,['medicina convencional decir tratar él'],,angustiar,,,necesidad solución inmediato,['aptitud'],manera seguir luchar,,emocional,['similar utilidad ver punto visto mas social'],poder desarrollar practicar,valor adquirir decir verdad,['tener buen rendimiento'],,,['provocar palpitación rapida'],['dar vuelta cabeza'],,['moral'],['sient lugar'],,,
requerir compromiso ambos parte,['dar beneficiar acto voluntario alguien mas'],,['visita psicologo'],,sensación tras cometer error,,,limitar,['genio'],tener fe ir suceder,,gratificante,"['obtener recibir beneficio', 'esforzar él']",capacidad hacer,anteponer verdad mentira,['compromiso deber cumplir él'],,,['consecuencia'],['cranear'],,['manera logica pensar cada persona'],['sient persona'],,,
alianza,['acto padre enseñar dar hijo pequeño'],,['ataquedar panico'],,gana corrergir accion,,,busqueda ayuda,['habilidad'],tener fe problema ir solucionar,,alegrio,['utilidad'],don,correcto,['regla deber acatar'],,,['miedo'],['flujo información'],,['correcto'],['poder tener mismo'],,,
colaborar alguien,,,['desordir pensamiento'],,generalmente asocia arquero,,,histeria,['jugar futbol necesitar'],fe,,sensación placentera,['dar beneficio mayor costo'],ser bueno,tipo valor,['poder evadir'],,,['cuidado'],['subconciente'],,['llevar hacer decisión hacer'],['poder trabajar si'],,,
entendimiento,,,['fijación estimulo'],,intranquilidad frente decision tomado,,,falta control sentimiento propio,['motricidad fino'],buena expectativa,,sonrisa,,destacar él area,primero valor padre enseñar hijo,['alguien hacer incluso si voluntad'],,,['advertencia'],"['desear', 'aspiración', 'sueño']",,['tener'],['construir experiencia'],,,
objetivo comun,,,,,querer revertir situacion,,,bajo presion,['movimiento cordinado'],convence si mismo bueno ir suceder,,dicho,,ser competente,confiabilidad,['hacer importar'],,,['pensar actuar'],['desarrollar imagen cabeza'],,,['reconfortante'],,,
benfecicio mutuo,,,,,sensación realizar accion,,,saber hacer,['habilidad combate'],ojala,,emoción,,poder relacionar él hobbi,,['deber'],,,['poder evitar'],['ocurrir conciencia'],,,['confort'],,,
rendicion,,,,,autogol,,,angustiar,['aumentar probabilidad golpe crítico'],,,bienestar,,,,['tarea'],,,['advertir riesgo'],['mente trabajar el …'],,,['estabilidad'],,,
llegar poder hacer frente situacion,,,,,pensamiento autocritico,,,creer existir mas posibilidad,['aumentar probabilidad esquivar golpe'],,,mejor salud,,,,['imponer persona'],,,['advertencia'],['proceso cognitivo'],,,['sentir miedo'],,,
credito,,,,,,,,falta control situacion,['agilidad'],,,animo,,,,['tarea hacer si si'],,,['evitar sufrimiento molestia'],,,,['proteccion'],,,
llegar medio negociación,,,,,,,,pánico,['capacidad fisicar'],,,poder ser respuesta querer esperar,,,,['generalmente consecuencia si hacer'],,,['situacion generar miedo'],,,,['peligro'],,,
medio gobernar,,,,,,,,temor,['habilidad actividad'],,,alegría,,,,['deber'],,,['sensacion inseguridad frente alguien'],,,,['cuidado'],,,
punto medio dos idea distinto,,,,,,,,miedo,['conocido tener fuerza agilidad'],,,sentir él bien,,,,['tarea'],,,['situacion impredecible'],,,,['poner candado'],,,
establecer parámetro común alguien,,,,,,,,,,,,concepto pleno,,,,['realizar tarea'],,,['tsunami'],,,,['sensacion comodidad'],,,
tratado,,,,,,,,,,,,llevar sonrisa,,,,['sacar carrera'],,,['chile vivir constante'],,,,['guardia'],,,
convención,,,,,,,,,,,,demostrar optimismo,,,,,,,['advertencia'],,,,['antiviru'],,,
poder firmar,,,,,,,,,,,,compartir emoción,,,,,,,['aviso previo frente situacion'],,,,['contraseña'],,,
cerrar apretón mano,,,,,,,,,,,,entusiasmo,,,,,,,['señaletico'],,,,['barrera'],,,
contrato,,,,,,,,,,,,euforia,,,,,,,['probabildiad salir dañado'],,,,['tranquilidad'],,,
punto común alguien,,,,,,,,,,,,satisfacción,,,,,,,['manera entender'],,,,['contencion frente situacion'],,,
sintonir alguien,,,,,,,,,,,,hacer reir,,,,,,,['idea'],,,,['dinero decir otorgar'],,,
,,,,,,,,,,,,familia,,,,,,,['vision mundo'],,,,['confianza si mismo'],,,
,,,,,,,,,,,,amigo,,,,,,,['ocurrir mente'],,,,['salvo'],,,
,,,,,,,,,,,,pasar él bien,,,,,,,['entrega respuesta'],,,,['tener respaldo'],,,
,,,,,,,,,,,,sonreir,,,,,,,['generar pregunta'],,,,['protección'],,,
,,,,,,,,,,,,bienestar,,,,,,,['cuestionamiento'],,,,['velar bienestar'],,,
,,,,,,,,,,,,preocupado,,,,,,,['amenazar'],,,,['guardia'],,,
,,,,,,,,,,,,triste,,,,,,,['riesgo sufrir daño'],,,,['encargado defenderno'],,,
,,,,,,,,,,,,sentimiento,,,,,,,['persona amenazante poder ser'],,,,"['carabinero', 'bombero']",,,
,,,,,,,,,,,,,,,,,,,['falta seguridad'],,,,['antiviru'],,,
,,,,,,,,,,,,,,,,,,,['salir calle noche barrio oscuro'],,,,['bloqueo mal'],,,
,,,,,,,,,,,,,,,,,,,['edificio viejo terremoto'],,,,['demostrar él firme posición'],,,
,,,,,,,,,,,,,,,,,,,['tipo situación'],,,,['cuado hogar supuesto …'],,,
,,,,,,,,,,,,,,,,,,,['dar preseiente podrio salir mal'],,,,['riesgo alguno'],,,
,,,,,,,,,,,,,,,,,,,['cuidadoso encontrar tipo situaciónn'],,,,['tranquilidad'],,,
,,,,,,,,,,,,,,,,,,,['generar persona estir mas atenta'],,,,['amenazar alguno'],,,
,,,,,,,,,,,,,,,,,,,['generar persona liberar adrenalinar si suceder'],,,,['protección'],,,
,,,,,,,,,,,,,,,,,,,['generar persona mas cuidadosa'],,,,['tener guardia poder darte cierto …'],,,
