informal formal,['deber ser enseñado'],['probabilidad pase malo'],['poder usar favor padecer'],lástima,despú cometer alguno error tonto,['eleccion'],['vía buscar significar'],encerrado,ser bueno,['creer poder pasar'],apelar sentimiento,sentimiento,['ir bien negocio obtener … …'],,,asumir poseer,['influir'],['mantener atención normal'],['buscar mejor opcion buscar'],amenazar,idea,['coordinacion idea fin'],usado frecuencia matematica,['protección'],direccionar,['verídico'],cumplir meta
formal deber legalizar,['gratitud'],['peligro provocar alguien'],['generalmente jugar'],benelovencia,sentir mal hacer mea … …,['apostar opcion'],['diccionario'],salida,desempeño tarea,['último perder'],innecesario frente responsabilidad,generalmente atribuir gente encontrar sonriente,['mayor … … mejor'],,,actuar poder resultar perjudicial,['presionar'],['ce él poder ser manisfestación'],['viajar'],debre enfrentar atencion,concepto,['organización'],poder encontrar mundo ley,['salvo'],encaminar,['afirmación'],rendir bien
respetar informal determinar persona,['felicidad'],['miedo alguien'],['mal silencioso'],abuelo generalmente ocasionar persona,sentimiento surgir hecer mal,['incertidumbre opción'],['enciclopedia'],angustiar,forma afronta,['razón seguir vivir'],motivo frente irresponsabilidad,positivo,['necesario sobrevivir'],,,persona carente generar desconfianza,['relacionar'],['existir trastor yo relacionado concepto'],['persona tomar'],producir adrenalinar,consciencia hablar,['conseguir meta'],alguien correcto,['brindar tranquilidad'],enseñar,['poder ser cuestionado'],objetivo vida
llevar cabo dias,['tranquilidad'],['alguien potencial causar yo algun perjuicio'],['incapacidad esperar suceso'],gente indefensa,aparecer sólo si conciente hacer mal,['direccionar'],['entrega información clave concepto'],solución aparente,uso habilidad,['sentimiento anhelo'],oponer hacer,intentar sentir yo así,['beneficio sobrepasar perjiuicio'],,,transparente,['empujar'],['necesidad hacer'],"['tomar', 'gana mucho cosa']",poder ser adictivo,nunca pasar mientras consciente,['idea'],motivo,['factor'],ver visión punto vista,['servir mantener relación social estable'],lograr completar algun desafío
formal poder tener grande consecuencia,['gracias'],['invasión alienigenar potencial …'],['nerviosismo'],bueno,surgir perjudicar,['posicionar'],"['desconce', 'buscar']",sentimiento intranquilizante,desarrollo,"['cosa mal', 'tender sentir él']",buscar perdón,alegrio,['casi siempre hablar concepto término monetario'],,,miente,['exigir'],['pensar'],['poder estudiar universidad'],amenazar,pasar cerebro,['solución problema'],propósito,['situación protección'],consejo,['omitir caso'],contrario fracaso
poder ser interno persona externo,['satisfecho'],"['secuestro', 'siempre … …', 'matar rehar']",['anhelo adelantar tiempo'],persona ayudar pobre,soler realizar acción reparar él,['pensamiento'],['significar'],provocado desición persona,ser habil,['relacionar bueno pronto suceder'],querer librar él,sonrisa,['aunque poder referir él varios ámbito aprendizaje'],,,verdad,['constreñir'],['pensar tiempo'],['aparecer necesita'],miedo,sólo hacer ser humano,['proyecto'],alguien inteligencia,['existir guardia cubrir'],advertencia,['poder ser alterado conveniencia'],normalmente obtener despu esfuerzo
dos parte poder llegar,['dar alguien'],['utilizar obtener costa hacer peligrar importante'],['impaciente'],bondadoso,intentar enmendar él,['punto visto u opinion'],['razon'],perder tranquilidad,bueno,"['situación crítica', 'unico quedar tener']",decir poder aunsentar él comprometido,nacimiento,['contrario perdido'],,,puro hablar,['deber'],['forma sano querer hacer'],,situación inestable,diferenciar humano animal,['buscar minimizar peligro amenaza'],capacidad cada persona,"['poder haber policía', 'bombero', 'ambulancia cubrir']",dar opinión,['contrario mentira'],satisfecho
idea satisfagar participante,['virtud poder realizar él'],['deber generar miedo'],['nervio'],entender persona,sancionable,['persona elegir'],['funcion explicar concepto'],sentimiento surgir sentir yo presionado,lograr práctica trabajo duro,['entrega tranquilidad cierto ocación'],manera mentir,emocion,['aumento'],,,contrario mentira,['prohibicion'],['pensar gustar'],,riesgo,involucra mente,['buscar asegurar resultado esperado'],raciocinio,['cualidad'],recomendación,['valor'],poder
trato,['situación dar gracias'],['dificultad enfrentar'],['poder comer'],empatiar,poder llevar castigo,['cada persona'],['detallar'],mucho persona sufrir encontrar deseosa,habilidad,['ultimo perder'],justificación,celebracion,['sumar'],,,escasear hoy diar,['hacer'],['querer repetir provocar'],,desequilibrio entorno,provenir acción realizar mente,['organizar según destresa habilidad'],correcto,['asumir positivo'],idea dar persona,"['deber siempre decir él', 'aunque duelar']",conocimiento
llegar conformidad,['sentir él lleno'],['barrera cumplir objetivo'],['trastorno psicológico'],tranquilo,sentimiento atormentar realizar malo accion,['poder tener poder ser igual distinto'],['usado frecuencia prueba academica'],agoviar,capacidad,['gente aferrra momento crisis'],dar pretexto,risa,['cantidad'],,,verdad,['bajo ley'],['enfermedad'],,amenazar,soler llevar idea,['lograr traves penamientir'],argumento,['atraer éxito'],consejo,['bueno'],sabidurio
tregua,['venir luego recibimiento regalo espiritual material'],['existir mucho amenaza real'],['exponer evento traumático'],pasivo,menudo afectar si conciencia limpio,['hacer dias'],['cada libro poseer glosario'],poder llevar locura,aptitud hacer,['gente recurrir momento desesperacion'],diz safartir hacer alguno deber,problema,['utilidadser'],,,pureza,['autoridad dar'],['trastorno mental'],,riesgo,poder traer duda,['ordenar tarea'],explicacion tener razon,['buscar obtener vida cotideán'],ayuda,['persona sincero'],completitud
involucra 2 mas persona,['accion persona tras recibir'],['riesgo'],['angustiar'],perdonar,poder afectar animo,['ultimatum'],['ayuda comprender cosa saber'],crisis,arte poder hacer,['dios brindar'],invento verbal plan lograr evitar compromiso,musico,['dinero extra'],,,claridad,['estudia prueba'],['solo querer cosa'],,poder sufrir él si cuida,ejercitar cerebro,['idea caso salir bien'],si,['buscar brindar él'],necesitar ayuda pedir,['abstracta'],competente
usado frecuencia negocio,['sentimiento recibir presente favor'],['exposición peligro'],['trastor yo desarrolar'],agobio persona,usado ley determinar sentencia persona,['cambiar realidad hacer él despu'],['descripcion'],sociedad entera pasado,capacidad manual,['persona religiosa soler poseer él mayor frecuencia'],,idealizado equilibrio,['ventaja situacion'],,,sinceridad,['trabajo'],['necesidad'],,aunque quierar siempre expuesto,desarrollar mente través herramienta,['opción'],explicacion hacer,['gorierno necesitar entregar cualidad'],preguntar creer mejor,['persona franco franqueza'],estabilidad
modo usar razon lograr inter comun,['ameritar retribucion'],['deber cuidarno'],['fármaco poder controlar él'],ayudar persona,alguno gente mas propenso poseer él,['punto inflexión'],['caracterizacion'],malestar mental,ingenio,['alumno final semestre'],,tender asociar él positivismo,['fortuna'],,,transparencia,['estudiar'],['enfocar él solo cosa'],,situación poder salir dañado,razonamiento,['sugerencia'],motivo hacer,['confianza'],,,calma mental
avez usado conveniencia,['apreciar tras ser recibido'],['tener precaución'],['sensación duradero'],misericordia,malhechor,['elección'],['visualizar'],inestabilidad,creatividad,['expectativa'],,escudar frente pensamiento dañino,['ingreso gasto'],,,leal,['todo mamá'],['poder vivir'],,situación alarmante,capacidad crítica,['utilizar organizar'],,['tranquilidad'],,,habilidad mental
poder llegar perjudicar alguien,['realizar corazón'],['recepción generar angustiar'],['desesperante'],perdonar culpable,sentimiento,['prioridad'],['ejemplificar'],desequilibrio,,['augurio'],,energía desbordante,['gente esperar obtener él vida laboral'],,,compromiso,['trabajar'],['querer compartir'],,factor riesgo,culturización,['poder tener fin positivo negativo'],,['barrera protección'],,,maximo expresion
pacto,['accion previo traer felicidad realizar'],['buscar hacer daño'],['ir allá control persona'],,pesame mental,['definir futuro'],['mostrar elemento'],inequidad,,['bienestar'],,optimismo descontrolado,['rentabilidad'],,,relacion,['comprometer'],,,poder hacer daño,progresar,['facilitar actuar'],,['fortaleza'],,,culminar
trato,['dar regalo hacer'],['realizar objetivo venganza'],['generalmente suceso provocar'],,incomodidad,['soler generar arrepentimiento'],['recapitular rasgo escencial'],impacientar,,['futuro'],,aceptación misterio,['vendo obtener'],,,decir verdad,['responsabilidad'],,,tener cuidado,sabio,['procedimiento llaga lograr'],,['disminuir miedo'],,,felicidad
compromiso,['hacer favor decir'],['ver advertencia ultimatum'],['gana sucesa mucho gana'],,malestar,['deber meditar él'],['estructurar'],irritación,,['felicidad'],,confianza,['obtener'],,,sinceridad,['tarea hacer'],,,humnao tender siempre evitar él,pensador,['ameritar análisis obtener él'],,['admirado persona'],,,cumpl objetivo
union,['cada acto persona'],['delincuente soler usar él'],['impaciencia'],,maldad,['repercutir'],['armar'],enojo,,['auge'],,ligereza,['venta buscar'],,,ser transparente,['deber'],,,antónimo seguridad,originado grecia,['involucra conjunto acción'],,['dejar espacio duda'],,,llega bien final
amistad,['decir persona'],"['peligro', 'riesgo', 'dañino', 'herido', 'muerte', 'asesino', 'daño', 'virus', 'enfermedad', 'corrupción']",['gana hacer'],,dolo malo intencion,['elegir camino'],['construir'],angustiar,,['mejora'],,motivación,['dinero'],,,decir cosa sentir necesitar gran,['calificación acción mandar'],,,acompañar advertencia,generar inteligencia,['buscar objetivo'],,['poderoso herramiento convencer persona'],,,alguien inteligente
proyeccion,['feliz recib'],['riesgo'],['nervio'],,reflexion mal acto,['hacer'],['concepto'],ansiedad,,['venir tiempo buen'],,emoción,['empresa rentable poco'],,,valor,['deber ayudar equipo trabajo'],,,provocar daño,reflexión,['soler involucrar mucho persona'],,['firmeza'],,,gana juego
estabilidad,['feliz hacer'],['dañino'],['producir sudoración mano'],,pesame conciencia,['escoger'],['descriscripcion'],adrenalinar,,['luz'],,sensacion satisfecho,['contrario perder'],,,virtud,['padre imponer casa'],,,soler evitar,elemento sumamente poderoso,['completacion llevar satisfaccion'],,['alarma anti robo'],,,
colaborar,['entrega cosa cambio'],['herido'],['descontrol'],,emoción consecuente hacer daño,['declinar yo'],['explica alguien cosa'],apurado tocar largo fila,,['felicidad'],,hacer gustar provocar,,,,desarrollar,,,,construcción trabajar disminuir él,procesamiento idea,['servir tener idea accion realizar'],,['sentía ser niño brazo padre'],,,
negociación,['gratificación'],['muerte'],['llevar acción descontrolado'],,ahoga,['dos cosa deber tomar'],['libro'],poder controlar,,['paz'],,contrario tristeza,,,,principio,,,,guerra mas poseer,enmarcar pasado futuro,['mapa idea'],,['brindar carabinero guardia'],,,
conllevar beneficio mutuo,['producir luego hacer favor'],['asesino'],['siempre negativo'],,alejar,['preferir'],['caracteristica'],miedo,,['blancura'],,sentimiento,,,,persona agrado,,,,vez asocia sensacion,alejar presente,['planificacion acción'],,['plenitud sient bajo alguno peligro'],,,
permitir progresar,['cortesía'],['daño'],['producir malestar'],,sentir avergonzado,,['aparecer palabra dos punto explicacion'],emocion,,['solución problema'],,salir bien provocar,,,,necesario,,,,riesgo,cuestionamiento,['frencuencia usado tener vision proyecto futuro'],,['sient hacer saber correcto'],,,
involucra discusión previo,['persona quedar deuda'],['virus'],['desear adelantar tiempo'],,deber limpiar él superar él,,['tambien poder ver calidad tel'],encerrado pieza puerta ventana,,['permitir luchar final'],,,,,,,,,,inseguridad,reflexión,['compañia telefonica soler ofrecer él'],,['sient tener apoyo gente importar'],,,
punto equilibrio,['señal aprecio hacer mismo'],['enfermedad'],['persona afectar'],,arrepentimiento,,['concreto borde'],pensar tranquilamente,,['posibilidad hacer'],,,,,,,,,,daño,razonamiento lógico,['complot'],,,,,
difícil lograr,['producir felicidad'],['corrupción'],['dar antojo alguno comida bebida'],,posterior experimentar daño hecho,,['explicación'],,,['motivación'],,,,,,,,,,veneno,susceptible sufrir manipulación,['reunion'],,,,,
poder ser 2 mucho parte,['representar generalmente solo palabra'],['acto'],['trastorno poder desembocar grave adicción'],,sentimiento,,['relatar esencia'],,,['ilusión'],,,,,,,,,,advertencia,cultivable entendimiento,['hacer hacer dieta'],,,,,
forma resolver conflicto,['acción desinteresada'],['ultimatum'],['bruxismo'],,alguein comete error,,['buscar simpleza universalidad'],,,['fantasía'],,,,,,,,,,precipicio,influenciable personalidad,['militar hacer guerra'],,,,,
trato,['empatir'],['peligro'],['insatisfacón'],,infracción,,['detallar significar'],,,,,,,,,,,,,compatible seguridad,cadena conciencia,['estrategia'],,,,,
deber respetar,['gracias'],['alguien advertir'],['incomodidad'],,,,['intentar objetivizar'],,,,,,,,,,,,,miedo,surgir cabeza,['objetivo curso'],,,,,
entendimiento,['envíar saludo regalo'],['persona intimido'],['necesidad inalcansable'],,,,['referencia'],,,,,,,,,,,,,poder llevar muerte,pensar,['poder ser secreto'],,,,,
comunicación,['demostración'],['alguien hablar demasiado usualmente tratar intimidar'],['busqueda inaccequible'],,,,['requerir credibilidad'],,,,,,,,,,,,,poder tener grave consecuencia,todo persona,['hacer 2 mas persona'],,,,,
requerir aceptación parte,['gratificación'],['sient bajo peligro'],['querer hacer rápido'],,,,['descripcion'],,,,,,,,,,,,,amenazar,abstracto,['organización'],,,,,
almacenar memoria,['alguien retribuir'],,['poder esperar'],,,,['significar'],,,,,,,,,,,,,miedo ser dañado,existir,['llegar meta partir'],,,,,
útil frente ambiguo,,,['natural'],,,,['dicccionario'],,,,,,,,,,,,,provocar comportamiento defensivo,acto mental,['estrategia'],,,,,
poder modificar futuro,,,['soler dar él momento incomodo'],,,,['entender necesitar'],,,,,,,,,,,,,inducir alerta,mente imaginar historia falso pasar él rollo,['táctico'],,,,,
código confianza,,,['forma sentir él'],,,,['forma mas explicitar entender'],,,,,,,,,,,,,preocupar,,['ingenio'],,,,,
trato dos parte,,,['dejar dormir'],,,,['explicar palabra mejor manera'],,,,,,,,,,,,,opuesto seguridad,,['general grupal'],,,,,
tratado dos parte beneficiar,,,['suceder querer pase rapir'],,,,,,,,,,,,,,,,,enfocar totalmente,,['complejidad'],,,,,
coincidir,,,"['poder reducir', 'controlar']",,,,,,,,,,,,,,,,,subir adrenalinar,,['inicio fin militar'],,,,,
dos persona querer reunir él llegar,,,['exceso poder ser malo'],,,,,,,,,,,,,,,,,producir repulsión,,['importante consecuencia'],,,,,
planificar hacer,,,,,,,,,,,,,,,,,,,,buscar minimizar,,['permitir organizar él'],,,,,
quedar alguien hacer,,,,,,,,,,,,,,,,,,,,indefenso,,['buscar beneficio'],,,,,
promesa,,,,,,,,,,,,,,,,,,,,cuidado,,['indicar ir hacer'],,,,,
,,,,,,,,,,,,,,,,,,,,riesgo,,['premeditación'],,,,,
,,,,,,,,,,,,,,,,,,,,correr riesgo hacer cierto actividad,,['organización'],,,,,
,,,,,,,,,,,,,,,,,,,,ocurrir desgracia,,['meticuloso'],,,,,
,,,,,,,,,,,,,,,,,,,,amenazar,,['calculado'],,,,,
,,,,,,,,,,,,,,,,,,,,señal construcción prohibir paso bajo advertencia,,['certero'],,,,,
,,,,,,,,,,,,,,,,,,,,usualmente deber evitar,,['permitir coordinación interno'],,,,,
,,,,,,,,,,,,,,,,,,,,riesgo perder,,['ordenar idea'],,,,,
,,,,,,,,,,,,,,,,,,,,emergencia catástrofir,,['cronológico'],,,,,
,,,,,,,,,,,,,,,,,,,,vez aceptar saber riesgo poder traer,,['objetivo claro'],,,,,
,,,,,,,,,,,,,,,,,,,,,,['esquema mental lograr meta'],,,,,
,,,,,,,,,,,,,,,,,,,,,,['idea llevar conseguir paso lograr'],,,,,
,,,,,,,,,,,,,,,,,,,,,,['idea fin'],,,,,
