acuerdo,agradecimiento,amenaza,ansiedad,compasión,culpa,decisión,definición,desesperación,destreza,esperanza,excusa,felicidad,ganancia,habilidad,honestidad,obligación,obsesión,oportunidad,peligro,pensamiento,plan,razón,seguridad,sugerencia,verdad,éxito
['complicidad'],['poder tener sentimiento realizar acto'],['dar miedo'],['querer tener hacer pronto'],['piedad'],['remordimiento'],['elección personal'],['significar alguien'],perdido esperanza,['talento'],['tema presente religion'],['invento'],['desear ser humano'],['ingreso'],estabilidad,['asocia color blanco'],['libre elegir'],['ejercer hacia persona u objeto'],['posibilidad hacer'],seguro,['trabajo mental'],['idea llegar meta'],['inteligencia'],['sistema alejar peligro'],['apor tú'],['arma mas poderoso'],['poder ser laboral sentimental']
['poder firmar oficial'],['responder ayuda'],['estrés'],['querer pase rapir tiempo x motivo'],['misericordia'],['agobio poder cambiar'],['concretar acción'],['descripción'],tener paciencia,['habilidad realizar'],['niño'],['falsedad'],['caracteristico ser humano'],['cuanto saque negocio'],capacidad destacar persona resto,['transparencia'],['hacer cuestionar si gustar hacer él'],['tratar problema necesitar corregir'],['decidir relizar accion'],escapa él,"['simbolizar', 'recordar imaginar futuro']",['utilizar empresa'],['capacidad argumentar debatir'],['resguardar robo'],['opción'],['justicia'],['lograr objetivo']
['ejemplo prenupcial'],['gratitud'],['poner alerta reaccionar'],['sudor mano'],['persona generar u otorgar'],['arrepentimiento'],['afirmación acerca elegir'],['permitir conocer concepto'],tener tranquilidad animo,['requerir ingenio'],['todo persona enfermedad terminal'],['poco honestidad'],['alegría'],['corte personal'],caracteristica destacar persona resto,['buscar persona'],['responsabilidad'],['incapacidad concentrar él alguno cosa'],['conseguir necesitar'],daño,['buscar información mente'],['forma estructurado hacer cosa'],['existir lema chileno'],['encriptar'],['elección'],['hablar tranquilidad'],['cantante seguidor']
"['si viola alguno parte', 'considerar roto']",['reconocer ayuda demá'],['poder quitar bienestar'],['existir competencia'],['sentir tristesa alguien'],['reconocer hacer malo'],['eleccion'],['explicación palabra'],tener control,['caracteristico fisicar permitir mover él agilidad'],['si cancer ultimo pierdo'],['falta mea culpa'],['bien'],['resultado final'],manera alguien realizar acción,['contrario engaño'],['hacer él'],['fijación alguien'],['mucho gente creer dar segundo'],miedo,['usar útil decidir'],['ayuda definir tarea actividd realizar'],['habilidad cognitivo unicamente poseido ser humano'],['guardia'],['posibilidad'],['consiencia limpio'],['persona mentaliza despu lograr']
['pacto'],['mencionar apor tú positivo alguien'],['potencial peligro'],['existir algun acontecimiento importante'],['empatiar'],['sentimiento negativo'],['conjunto cosa selecciona'],['encontrar mucho diccionario'],persona asi,['relacionar agilidad fuerza'],['ulitmo perder'],['mula'],['equilibrio'],['lograr adquirido'],diferenciación,['contrario mentira'],['deber'],['trastorno compulsivo'],['si dar triunfa'],exposición,['analizar'],['definir metodo camino llegar objetivo'],['característico determinante existencia ser humano'],['proteccion'],['oportunidad'],['caer mentira'],['recorrer camino llegar']
['unión pensamiento acción'],['ser educar'],['actitud anticipar violencia'],['todo persona demostrar manera diferente'],['sentir él afectado miseria projimo'],['dolor'],['determinacion hacia objetivo'],['dicese descripción objeto concepto'],controlar acto,['combinacion agilidad fuerza'],['sentimiento siempre poder mas'],"['alguno explicacion haber omitir', 'relizar hecho']",['alegría'],['buen resultado'],cualidad positiva persona,['verdad'],['responsabilidad tipo'],['fijacion intenso'],['si aprovecha poder lograr objetivo'],factor riesgo,['platon desarrollar gran'],['estrategia'],['relacionado pensamiento'],['sentimiento tranquilidad'],['proposición'],['honestidad'],['logro']
['generar mediante concenso persona'],['gratitud'],['actitud usado crear miedo'],['forma mostrar nervioso'],['voluntad ayudar projimo problema'],['consecuencia hacer mal'],['eleción persontar situación'],['poder encontrar diccionario'],tener esperanza,['trepar arbol necesitar gran'],['actitud empuja ir mas allar'],['alguno historia explicar'],['gozo'],['lleno felicidad'],necesario lograr,['decir pensar'],['todo persona'],['poder llevar locura adiccion'],['dar cambi vida'],poder provocar muerte,['nunca poder dejar tener él cabeza'],['idea guia situacion llevar cabo'],['decir persona correcto'],['ausencia riesgo'],['consejo'],['contrario mentira'],['triunfo']
['importante llevar cabo proyecto'],['reconocimiento hacia alguien sentir yo bien'],['gesto fuerte amedrentar'],['poder ser problema sicológico'],['relacionado empatiar'],['responsabilidad'],['buena mala'],['significar elemento'],tener paciencia,['simbolir alguien bien preparado fisicamente'],['último perder'],['justificación'],['buscar emoción'],['querer lograr'],diferenciar persona,['ser consecuente'],['dependiento grado concepto importancia'],['si compulsivamente trastorno mental'],['encontrar camino'],inseguridad,['grecia motor principal filosofo'],['oficial militar ocupar rescate'],['ocupar cabeza'],['confianza'],['tip'],['clave relación amistad pareja'],['cumplimiento meta personal']
['dar dos parte'],['sensación placer'],"['aviso cambiar actitud', 'acción', 'etc', 'sucedero']",['producir ataque'],['acto tratar aliviar sufriemto'],['usar decir hacer negativo'],['deber evaluar'],['dar caracateristica tipica elemento'],impotencia,['movimiento bruzco necesitar agilidad'],['impulsar'],['gente soler entregar mucho'],['emoción positivo'],['objetivo mucho persona'],distinto tipo,['distorcionar realidad'],['cumplir'],['loco'],['solucion'],situación vulnerabilidad,['idea surgir'],['forma ordenar vida'],['objetivo'],['policia brindar'],['concegir'],['pinoccio tenia decir él crecer nariz'],['aspiración']
['pacto afirmativo'],['felicidad'],['gesto crear miedo evitar accion'],['experimentado situación estresant ajeno individuo'],['persona'],['comet algun acto negativo dar sentimiento despu'],['aceptar hacer'],['especificar uso'],sobreexagerar situación,['habilidad principal escalar muro'],['fe buen resultado'],['pretexto'],['ver positivo'],['odiado poco'],capacidad persona,['omitir detalle'],['tomar deber'],['nombre uno galleta forma tubo rellena chocolate'],['posibilidad'],situación riesgo,['nadie poder leerte'],"['organizar actividad semana', 'mes año']","['dos persona discutir', 'cierto']",['guardia dedicar él'],['persona dar ayudar decisión'],['diz certeza'],['triunfo']
['trato'],['reconocer cosa buena pasar vida'],['fuerza verbal impedir hacer'],['falta adaptacion parte individuo'],['sentimiento alguien mal'],['conciencia error'],['opta hacer nadie detener'],['decir componente'],tener alternativa importante,['habilidad realizar'],['motivación'],['decir querer justificarnos alguno accion hicimos persona'],['contrario tristeza'],['victoria'],ser bueno realizar accion,['buen persona'],"['país', 'votar']",['bueno'],['momento esperado'],poder ser dañino,['surgir imaginacion'],['compañia telefono ofrecer'],['cuestionar'],['garantizar'],['dar motivo cambiar ratificar decision'],['miente'],['cosa salir bien']
['pacto'],['dar gracias'],['narcotraficanta hacer lacayo hablar'],['experimentado algun momento'],['tratar evitar dolor ajeno'],['equivocacion'],['referir elig carrera universitario salir colegio'],['determinar objetivo elemento'],poder cambiar,['poder mejorar entrenamiento'],['creer salir bien pronóstico'],['forma salir ileso situación desfavoreceer'],['máximo satisfacción'],['ganar'],todo persona buena,['transparencia'],['hacer alguien hacer'],['si conseguir querer dañino'],['constante busqueda'],necesario poner él salvo,['mucho vez crítico analitico'],['organización'],['debatir'],['riesgo'],['recomendación'],['habla persona revela oculto'],['sentimiento positivo']
['hacer llegar punto comun'],['sentimiento positivo'],['recib si hacer desagradar persona'],['intranquilidad pendiente resolver'],['dos persona'],['hacer perjudicial arrepentir'],['elegir'],['aquel dar significar palabra u concepto'],perder calma,['habilidad'],['añoranza'],['mentira'],['extasis maximo'],['utilidad'],poseer capacidad diferente,['forma ser'],['ir colegio'],['preocupación extremo'],['solucion esperar ser tomado'],sentir ladron cerca,['habilidad principal hombre'],['forma ordenar'],['coherencia'],['percepción peligro'],['forma aconsejar alguien llevar cabo'],['buscar creyent cinetifico creación universo'],['logra']
['entendimiento'],['sentir gratitud hacia alguien'],['poder ser físico verbal'],['asocia pensamiento repetitivo'],['sentir tristeza persona cosa'],['sentimiento angustiar perjudicar'],['estudiar buen'],['aquel lleno diccionario'],contrario relajado,['capacidad realizar'],['situación esperado futuro'],['utilizamos evadir'],['sentimiento positivo'],['recibir dinero invertir'],capacidad realizar,['concepto diametralmente contrario mentira'],['deber hacer si si'],['causa preocupación poseer'],['tomar dejar'],sentimiento alerta malo pasar,['hombre ser'],['actividad'],['lema patrio chile'],['paz'],['recomendación'],['alguien cierto'],['satisfacción']
['país hacer materia relación'],['si regalar notebook'],"['si recibir', 'vivir alerta']",['movimiento repetitivo rápido mover pie lápiz'],['empatir'],['sentimiento negativo'],['hacer gol necesario tomar buen'],['ver palabra concepto'],incapacidad reaccionar bien frente problema,['relacionar habilidad'],['desear suceda'],['intento justificacion accion'],['contento'],['saldo positivo'],destreza disciplina,['ser transparente persona'],['deber'],['permitir apartar pensamiento alguien'],['siempre aparecer distinto situación'],alguien manejar mal,['yogo intentar alejarte cualquiera'],['poder comprar'],['ganar discusión'],['proteger'],['consejo'],['siempre decir'],['gocir']
['persona hacer negocio'],['siempre alguien hacer'],['situación peligroso'],['angustiar intolerable hacer cargo'],['colocar él lugar'],['hacer saber incorrecto queda pensar'],['momento elegir importante'],['significar palabra'],incapacidad actuar correctamente,"['poder ser motoro', 'escrito', 'artístico']",['similar fe'],['mentira verdad servir evadir situacion'],['chile ganar futbol'],['ganar'],facil realizar,['contar verdad'],['responsabilidad'],['adicción'],['gente dejar pasar'],manejo mas alcholir,['idea'],['estrategia'],['gente locar perder'],['acoger'],['persona tomar buen desición dar'],['valor'],['triunfo']
['parte relación basica ser humano'],['gracias'],['peligro relativo'],['poco tolerancia'],['contrario venganza'],['mujer dieta come chocolate después'],['elección'],['forma das entender querer decir concepto'],cólera,['individual'],['nombre mujer relacionado desear futuro'],['frase buscar ser perdonar'],['contrario tristeza'],['dinero'],hacer esoecial característico,['distorsionar realidad'],['tarea'],['deseado'],['poder traer buena mala consecuencia'],isic humanidad,['imaginación'],['poner él acuerdo'],['logica'],['sensación tranquilidad'],['decir forma opinión'],['gente decir confianza'],['llegada meta']
['entendimiento necesario'],['si ayudar'],['situación riesgo'],['sentimiento querer pase ahora'],['perdonar'],['pasar malo responsabilidad sient'],['opción'],['característica ayudar comprender mejor palabra'],alteración ánimo,['permitir desarrollar habilidad'],['conflicto último perder'],['frase emitir tal ver él perjudicado'],['alegría'],['platar'],característico positivo destacar demá área,['asumir presente'],['deber'],['constante'],['tipo costo economía'],premonicion guerra generar,['permitir planificar'],['organización'],['uso cerebro'],['peligroso'],['apoyo'],['decir él juicio'],['termino objetivo']
['trato'],['general ser forma atender'],['situación extraño riesgo'],['querer alcanzar futuro'],['ser benevolo'],['pasar buscar cometer'],['elegir mejor'],['concepto'],pérdida esperanza,['virtud'],['matienir fe persona'],['poder interpretar disculpa'],['producto mcdonalds hacer referencia concepto'],['factible'],virtud,['evitar mentira'],['reunión importante'],['soler provocar malo resultado'],"['hablar', 'elección poder generar beneficio']",salir cartel cerca hoyo,['dar persona'],['elaborar procedimiento'],['uso logica'],['dañino'],['transmitir opción mas considerar'],['juez'],['pasar ramo']
['termino aprovado'],['actitud hacie ayuda general'],['peligro integridad persona'],['esperar largo poner'],['levantar enemigo suelo'],['sentimiento negativo malo accion'],['enfrentar él diferente alternativa'],['concreto'],fobiar,['relacionar ser bueno'],['desear interiorizado'],['justificación'],['sentir padre hijo'],['contrario pérdida'],tener capacidad desarrollo art manual,['frente alto'],['regla'],['dificíl controlar'],['decir gente mayor estrato social mas menos afortunado'],amenazar,['relacionar razón'],['establecer paso'],['división'],['estabilidad'],['consejo'],['vez dificil decir él'],['hacer bien']
['aprovacion'],['actitud hacia alguien tratar forma amable'],['alguien enojo decir'],['querer pase rapir'],['persona'],['sentimiento reconocer equivocación comentar él'],['seleccionar base razonamiento'],['abstracta'],saber hacer,['habilidad'],['tener fe'],['decir chamullo librar él'],['sonrisa'],['recibir proyecto bueno'],capacidad,['verdad'],['carácter'],"['generar placer', 'desencadenar']",['chance'],vida correr riesgo,['interiorizado'],['receta'],['decir correcto'],['confort'],['advertencia'],['credibilidad'],['llegar meta']
['punto visto frente'],['respuesta amabilidad'],['advertencia agresivo'],['querer ahora'],['solidaridad'],['persona conocimiento error saber afectar ente'],['tener distinto oportunidad'],['todo palabra'],busaco escapar situación,['habilidad poder ser fisicar mental'],['creer benevolo podrio suceder'],['defensa propio evitar sanción'],['risa'],['rendir'],ser bueno,['hecho'],['fuerza hacer'],['obstinación'],['tener posibilidad realizar'],situación amenzante,['individual'],['ejecutar'],['capacidad organizar pensamiento críticamente'],['protección'],['guía lograr'],['mentir'],['ganar']
['ok'],['forma compensar buen accion hacia'],['consecuencia'],['querer anticipar futuro'],['entiend lugar'],['sentimiento'],['actuar voluntad propio'],['permitir entender'],sentimiento negativo,['existir juego mesa nombre'],['esperar resulte querer'],['argumento favor'],['dicho'],['obtener restar ingreso costo'],propio cada persona,['virtud positivo'],['deber hacer'],['desear descontrolado conseguir'],['permitir hacer querer'],situación riesgo,['servir analizar situación'],['mapa previo realizar'],['animal'],['bien'],['recomendación'],['honestidad'],['sortear obstaculo']
['confirmacion'],['expresión gratitud hacia alguien'],['terror'],['gente mucho vez come'],['sient persona pasar negativo'],['come demaciado'],['alternativa'],['dar conocimiento'],tratar tener describir,['necesitar deportista'],['fe'],['presentar certificado'],['pleno'],['positivo poder llevar experiencia'],abarcar distinto ambito,['sinceridad'],['poder evadir'],['aspiración'],['hicistir mal dejar intentar él denuevo'],asocia miedo,['servir resolver problema'],['analizar hacer'],['permitir tomar desición correcta actuar instinto'],['guardia'],['crítica'],['crear falso testimonio'],['desear persona valla bien']
['ractificar idea'],['decir hacer'],['miedo'],['sensación inseguridad'],['sentimiento positivo'],['delito'],['tomar deber elegir cosa'],['estar estipulada'],paciencia acabar,['habilidad'],['creer'],['quitar responsabilidad'],['sentir él bien mismo entorno'],['gana entrada dinero típico'],capacidad,['relacionar integridad'],['deber hacer'],['ambición'],['posible lograr'],opuesto seguridad,['profundidad'],['esquema mapa'],['cierto respecto'],['escudo'],['observación'],['real'],['decir persona vida lleno logro']
['trato'],['mientras sintamos feliz'],['intento evitar alguien hacer'],['nerviosismo'],['permitir persona ayudar'],['pecado'],['elegir'],['real academia español'],aguanta mas,['ser bueno'],['asumir hecho'],['pedir perdón'],['aceptar rodear'],['entrada dinero extraordinario'],poder ser blando,['hacer falta persona poderoso mundo'],['adulto mas niño'],['tener meta'],['contrario dejar intentar él denuevo'],poner riesgo integridad,['idea'],['revisar anticipación situación'],['propio persona encontrar correcto'],['alarma'],['ayuda mejorar'],['aquel innegable'],['lograr objetivo']
['tratado'],['gratitud'],['persecucuion'],['comer él uña'],['caridad'],['hacer saber mal'],['acto'],['avez costar entender él'],descontrol,['cualidad positivo'],['dar salto ciega'],['perdonar'],['aprender valorar cada cosa'],['tener margen positivo utilidadser'],intrinsica,['decir mentira'],['tarea'],['sensación desear'],['aprovecha si dar'],negativo,['filosofia'],['paso seguir frente situación'],['sustrato biológico cerebro'],['criminal violar'],['pauta actuar bien'],['certero'],['forma medida lograr']
['pacto'],['situación positivo generar hacia persona'],['juego mental'],['sudoración excesivo'],['poner él sentimiento'],['castigo'],['siempre facil'],"['mas 1', '000', '000 mundo']",saber hacer,['contrario hacer actividad mal'],['poder sentir'],['acción justificar falta'],['sentir él alegre'],['contrario perdido'],poder desarrollar,['cualidad persona decir verdad'],['si si hacer'],['querer lograr él todo costa'],['evento poder sacar ganancia'],amenza inminente,['cada expresar distinto forma'],['conjunto instrucción decir quá hacer'],['verdadero según concebido cierto ser humano'],['confianza'],['manual'],['concebido real'],['buen resultado']
['llegar 2 firmar convenio'],['poder demostrar mediante regalo'],['peligroso'],['incomodidad'],['empatir'],['juicio'],['tomar deber decidir diferente camino'],['significar palabra'],dar situacion sobrepasar,['característico persona poder mostrar realizar cierto operación'],['experimentado'],['argumentación'],['sentir él contento'],['vender precio mayor costo original'],matematica,['cualidad positivo persona'],['poder hacer'],['especie irracionalidad búsqueda alguien'],['ventana ofrecido azar'],poder sufrir,['amplio'],['acuerdo'],['acción acontecimiento'],['iso9000'],['ayudar'],['afirmación llevar creer real'],['lograr cien ciento']
['crees interlocutor decir correcto'],['relacionar alegría'],['riesgo hacia mismo'],['impaciencia'],['acompañar sentimiento dolor'],['abstracto'],['decidir'],['acotamiento'],madre perder hijo ejemplo,['habilidad'],['sentimiento'],"['cumplir', 'utilizar']",['juzgar él mismo demá'],['beneficio'],labiar,['verdad delante'],['referir si hacer'],['persecución'],['posibilidad'],convenir evitar él,['constructivo'],['necesitar planificación previo'],['mente'],['resguardo'],['dar querer ayudar alguien realizar él tarea'],['hacer ser persona auténtico'],['satisfecho']
['chile varios país limitar'],['dar gracias'],['peligro'],['anticipación alguno suceso desagrable'],['hacer dolor ajeno aliviar él'],['depender juicio'],['medida tomar frente hecho'],['explicación palabra'],emocion fuerte,['maester'],['inverso medio'],['servir vía escape fácil cumplir'],['pasar alguno situación añoraba sentimiento positivo respecto'],['poder ser material conocimiento'],especie don,['decir verdad'],['sient hacer querer'],['poder desencadenar enfermedad mental'],['chance'],si ignora poder salir perjudicado,['nunca dejar ejecutar él'],['estrategia'],['tener verdad'],['padre brindar gran'],['dar querer guiar alguien camino correcto'],['contrario falsedad'],['tener querer']
['llegar término aceptable persona respecto tema'],['alguien hacer favor hacer saber ayudar'],['auxilio'],['situación provocar agitación'],['contener'],['variable'],['elegir'],['caracteristico palabra'],espada pared,['dicese persona buena cualidad tema'],['utilizar estadístico'],['poder ser mentira'],['calma'],['éxito'],facilitadoro objetivo,['confiable'],"['tener hacer tarea colegio', 'universidad']",['actúar desacuerdo razón'],['momento exacto llevar cabo'],generalmente señalado,['pertenecer plano fisico'],['estrategia conseguir'],['justificación'],['razon guardar dinero debajo colchon'],['tipo ayuda'],['concepto irrefutable'],['realización']
['tipo pacto'],['gratitud'],['pasar'],['preocupación excesivo hacia futuro'],['conmueve dolor angustiar'],['sentir hacer malo alguien'],['atrever él'],['todo palabra'],nerviosismo,['persona buena habilidad'],['emocion'],['tipo mentira'],['familia'],['dinero'],destresa,['buen persona'],"['padre salir', 'si cuidar hermano']",['poder relacionado torno persona'],['opcion'],real,['imposible expresar totalidad'],['suceso paso lograr objetivo'],['creer cierto'],['ladrón alteran'],['tipo acto alguien mas necesitar guia'],['poder discutir'],['triunfo']
['pacto'],['das obsequio devolución favor'],['suceder'],['tipo enfermedad'],['sentir sensibilidad alguien'],['hacer mal'],['tener fuerza'],['servir encontrar significar'],angustiar,['diferenciar persona realizar cierto actividad'],['querer lograr dificil lograr él'],['usar evitar cosa agradar gente'],['skittl'],['fruto'],don,['valor'],['deber'],['poder ser causal amor corresponder'],['presentar varios vida'],tener cuidado si encuentra situacion,['él ocupar solamente cerebro'],['camino alcanzar'],['pensamiento'],['mucho casa poner reja cercado dar mas'],['guiar'],['pre establecido gente'],['meta logrado']
['conciliación'],['alguien hacer amable'],['alerta'],['preocupación interno hacia desconocido'],['apiadar él alguien'],['sentir responsable ocurrido'],['reaccionar'],['descripción'],intranquilidad,"['persona jugar futbol', 'deporte']",['servir automotivación'],['siempre implicar verdad'],['vacación lugar soleado caluroso'],['niño poco'],talento,['calificativo'],['imposicion'],['incapacidad dejar pensar alguien'],['agradecer'],accidente poner cinta seguridad palabra,['tipo corriente'],['claro elegir'],['creer tener todo persona'],['persona mas timida ser mas'],['guiar camino correcto'],['tambien atributo persona'],['luego esforzar él alcanzar él']
['trato'],['das gracias persona'],['bomba'],['estrés'],['sentimiento positivo'],['experimentar remordimiento'],['poseer opinion'],"['característica cosa', 'objeto persona']",negar él encontrar paz,['hablidad'],['ir bien'],['ocurrir evitar situación'],['persona amada'],['ganar primero trabajo'],persona desarrollar bien actividad conocimiento,['veraz'],['accion inmediato'],['incapacidad dejar pensar'],['dar alguien'],cuidado,['mil cada día'],['pago alfinal mes entel'],['poder contradecir'],['sentimiento desproteccion'],['directriz'],['bien valorado sociedad'],['producir felicidad']
['contrato'],['acción favor persona ayudar'],['terrorismo'],['rapidez'],['compadecer él'],['sient hier alguien'],['tener idea'],['detallar'],peor error frente problema,['mejor'],['pensar positivo pensar ocurrirar'],['pretexto'],['reír'],['capital'],poder desarrollar practicar,['verdad'],['tiempo determinado'],['uno galleta nombre concepto'],['si comete error posibilidad enmendar él'],cartel palabra avisar malo poder suceder,"['personal', 'nadie poder saber él menos exprés']",['esquema'],['opinión'],['proteccion'],['proponer'],['nadie poder recriminar él'],['lograr sentir satisfacción']
['venta'],['sentir él feliz ayuda alguien hacerelo notar'],['ataque'],['gana ocurrir'],['apiadar él alguien'],['sensación molestar'],['seguro'],['significar'],correr tiempo,['preciso'],['creyent dios'],['evadir situación'],['sensación pleno satisfacción'],['billete'],capacidad hacer,['mentir'],['poder decir él'],['poder llegar ser trastorno sicológico'],['nuevo camino'],bueno,['dar lugar idea'],['paso seguir'],['logica'],['sensación protección'],['dar opinion acerca'],['contrario decir mentira'],['triunfo']
['condición'],['decir oro'],['seguridad'],['terminar rapir'],['pena'],['deber alguno acción situación involucra autorresponsabilidad'],['tener confianza'],['descripción'],mental nervioso,['seguro'],['saber suceder'],['aplazar'],['alegrio'],['satisfactorio'],don,['decir pensar'],['mama dar mucho'],['poder desconectar él'],['desafio'],poder pasar malo,['accion mental'],['guía'],['pensamiento'],['confianza'],['plantear alguno solucion'],['mentir'],['victoria']
['dos mas participante'],['misa'],['vida persona'],['comer rapir'],['poner él lugar'],['malestar'],['comparar'],['explicación concepto u objeto'],evitar calma,['rapir'],['tener confianza hecho hacer correcto'],['justificar'],['arcoiris'],['obtener realizar alguno acción'],ser bueno,['obtener confianza'],['implicar responsabilidad'],['dejar dormir'],['hacer primero vez repetir él'],situacion riesgós,['idea'],['organización acción seguir'],['mente creer'],['autoafirmación'],['mostrar punto visto propio'],['decir cosa tal'],['logro obtenido']
