Compromiso hecho mediante palabras.,Cariño,Asecho con peligro,Consecuencia de constante estrés,Contrario a la venganza,paciente,Cuando me siento mal hago un mea ……,Determinación ,"Cuando se desconce, la buscamos ",Cuando no sabes que mas hacer ,Característica de personas que tienen alto rendimiendo,Creer que algo saldrá bien contra todo pronóstico,Cuando uno quiere librarse de algo,Chocolates,Cuando los beneficios sobrepasan los perjiuicios,Ingresos disponibles menos costos totales,Normalmente se obtienen despúes de mucho esfuerzo,Saber hacer algo,Claridad,Cuando uno se compromete a algo,Dejar de ver todas las opciones en pro de una sola,Momento esperado,Cuando hay un accidente ponen cintas de seguridad con esta palabra,Constructivo,Conjunto de instrucciones que dicen quá hacer ,Conciencia,comprension,Comentario que busca ser un aporte positivo,Es cuando una persona te propone que realices una acción sin presión,Opcion,Es algo bueno,,Es lo contrario a fracaso
Concenso,Cuando alguien le hace un favor a otro este le hace saber al otro que lo ayudó,"Aviso de que una acción tuya puede gatillar una reacción en otra persona, generalmente negativa.",Desesperación,Decision,pacifismo,Cuando se termina es un alivio,Elección,Dar el significado de algo,Cuando se pierde algo valioso entramos en un estado de preocupación,Ciertas actividades la necesitan,"Cuando las cosas están mal, uno tiende a sentirlo ",Decir algo para poder aunsentarse a algo en donde me había comprometido,Como se está cuando Chile gana en futbol,Cuando me va bien en el negocio se obtienen …….,Liquido,O también pueden desarrollarse con práctica,Se logra con la pràctica,Contar la verdad,Cuando uno trabaja,Dependencia hacia un objeto o persona aunque nos haga mal,No aprovecharlas genera remordimientos futuros,Cuando ocurre una desgracia,Cuestionamiento,Conseguir una meta,Cordura,"cuando dos personas discute, y uno esta en lo cierto",Confianza,Idea que da una persona a otra,Para que una persona tome una buena desición se le da una,Es algo muy valorado,,Es para ganadores
Confirmacion ,Cuando alguien retribuye algo,Barrera para cumplir mis objetivos ,Desorden del pensamiento,Dios tuvo esa cualidad con nosotros,perdon,Cuando una persona tiene conocimiento de su error y sabe que está afectando a otro ente.,Elige un camino,Darle termino a una idea,Cuando te ves en aprietos,Competencia,Cuando uno piensa que tiene todo perdido pero se abre una brecha,Disculpa injustificada,Como se sienten los padres cuando tienen un hijo,Cuando vendo algo obtengo una ,Lo que obtiene uno de alguna experiencia,Otros humanos las desarrollan conforme a lo requieren,Ser bueno en algo en especìfico,Correcto,Debe realizarse ,Desear algo a toda costa,Ocasiòn perfecta,Cuando uno corre riesgo de hacer cierta actividad,Cultivable desde el entendimiento,Coordinacion de ideas para un fin ,Cuando alguien esta en lo correcto,cuestionar algo,Confianza ,Opinión,Puede no estar correcta,Es clave en una relación de amistad o de pareja,,Ganar
Conforme,Cuando demuestras gratitud,Cambia la actitud de las personas,Desviar una responsabilidad,Dolor ,piedad,Darse cuenta del error y no querer contarlo,Es algo concluyente ,Datar caracteristicas de un concepto,Cólera,Conocido por tener fuerza y agilidad,Dar un salto a ciegas,Es aquello que provoca tranquilidad o sentimientos de alegría  ,Confianza,Dinero ,Lo que se obtiene por realizar alguna acción,Poseer una capacidad mayor a la que otros poseen,Ventaja ,Crea confianza,Deber,Deseo de algo en exceso,Ocasión conveniente,Cuando uno esta indefenso,Dan lugar a las ideas,Determinacion de un futuro,Cuando alguien tiene inteligencia,debatir algo,Cuado estas en tu hogar estas en una supuesta …,Orientar ,Puede ser aceptada,Es lo contrario a mentira,,Genera tranquilidad en las personas
Cuando crees que tu interlocutor dice algo correcto,Cuando le das un obsequio a otro en devolución a un favor,Conducta extrema para conseguir un fin,Dificulta el pensamiento,Emocion ,por lo que se le perdona la vida a alguien en las peliculas,Debe limpiarse para superarla,Escoger ,Depende del punto de vista de cada uno,El peor error frente a un problema,Desempeño extraourdinario en algun arte,El pensar de que algo pueda ocurrir ,Es una manera de mentir ,Contento,Dinero generado producto de un trabajo o un trueque.,Lo que se recibe cuando un proyecto es bueno,Se puede desarrollar con practica,acción para crear ,Cualidad ,Deber que tiene una persona ,Dificíl controlar,Ocasión de ganar,Cuidado,Ejercita al cerebro,"Diseñar una estrategia a seguir, para realizar algo en particular.",Cuando uno la tiene es porque dijo algo correcto,empatia,Cualidad ,Preguntar por lo que el otro cree que es mejor ,Puede ser ignorada ,Es un valor ,,Imagn soial positiva
Cuando dos personas quieren reunirse llegan a un ,Dar las gracias,Cuando alguien habla demasiado usualmente te trata de intimidar,Dificultad,Emociòn,sabio,Emoción consecuente a hacer daño,Esfuerzo,Describir algo,Emoción negativa,Determinan el futuro de una persona,"En situaciones críticas, es lo unico que nos queda tener",Faciles de realizar,Contrario a tristeza ,En las ventas se busca una ,Lo que uno obtiene al restar ingresos con costos,Talento,arte,Cualidad de una persona que genera confianza,Deberes,El concepto es percibido como negativo,Ocasión de hacer algo,Dañino,Es abstracto,Elaborar un procedimiento,Dicernimiento al respecto de las situaciones,es objetivo,Cuando no hay riesgo alguno,acotación,Recomendación,Es una respuesta sobre lógica,,Las personas con muchos proyectos positivos lo tienen
Cuando se llega a términos aceptables con otra persona respecto a un tema,Dar un regalo,Cuando alguien te advierte de algo,En exceso puede ser mala,Empatía,sentimiento,Es el primer paso a la sanacion de una mala sensacion,Hay opciones,Descripcion ,Es lo contrario a Esperanza,Es automatico ,Es cuando uno se convence a si mismo de que algo bueno va a suceder,Forma de esquivar algo,Cuando algo sale bien me provoca ,Entre mayor sea la …… mejor,Logro adquirido,Una persona que desarrolla bien una actividad o conocimiento,capacidad,Cualidad humana,Desesperación,"En las relaciones tormentosas ya no se habla de amor, sino de este transtorno",Opción,El humnao tiende siempre a evitarlo,Es común ver a los adultos tener esta acción frente el futuro.,Especificos para distintas tareas,División,existe en un lema chileno,Cuando se habla de esto muchas veces se habla de guardias,advertencia,Se da cuando uno quiere ayudar a alguien sin realizarle la tarea,Esta muy asociada a la confianza,,Las personas lo buscan
Código de confianza,Debe ser enseñado,Cuando corro peligro estoy bajo una…,Enfermedad,Entender la situacion del otro ,sentir tristesa por algo o alguien,Es psicológico,Involucra una accion ,Descripción de algo o alguien,Es una fijación por algo determinado,Es cuando uno es rápido en algo obteniendo mejores resultados,Es lo último que se pierde,Forma de justificarse,Cuando hago algo que me gusta me provoca  ,Es lo contrario a Perdida,Nos llena de felicidad,abarca distintos ambitos,capacidad de hacer algo ,Decir la verdad,El deber de ayudar a tu equipo de trabajo,Encerrarse ,Parte del analisis FODA,El riesgo de perder todo,Es involuntario ,Esquema,Es la capacidad de cada persona,habilidad cognitiva unicamente poseida por el ser humano,Cuando uno cree que lo que dice es lo correcto,aportar para realizar un trabajo,Se da cuando uno quiere guiar a alguien por el camino correcto,Hablar con la tranquilidad,,Lograr algo
Decisión mutua entre dos partes,Después de recibir un regalo,Cuando se te advierte de algo ,Es un estado mental,Es buena,,Es sancionable,La realiza una persona o grupo de personas,Detalla el significado,Estado angustioso,Es positivo,Es una promesa que esperamos que se cumpla algún día,Innecesaria frente a la responsabilidad,Deseo del ser humano,"Hay distintos tipos de ella, ya sea en plano material y emocional.",Objetivo de muchas personas,algo distinto,cualidad,Dificil de efectuar,"En muchos países, votar es una de ellas",Enfocarse solo en una cosa,Posibidad,Es dañino,Es personal ,Esquema mental para lograr una meta,Es la manera logica de pensar de cada persona,inteligencia,Despreocupación,aporte positivo,Se dice en forma de opinión,Hay algunas tan fuertes que te meten en problemas ,,Lograr las metas
Desición,Es lo contrario a resentimiento,Cuando te sientes atacado,Es una forma de sentirse,Esta en la naturaleza humana,,Es un sentimiento,Medida que tomamos frente a un hecho ,Dicccionario ,Estado mental nervioso,Es una capacidad distinta de la común ,"Esperar lo mejor, estar preparado para lo peor ",Invento verbal de un plan para lograr evitar un compromiso,Dicha,Ingreso,Odiado por pocos,algo especial,dominio de una materia,Es algo bueno,Es el deber hacer algo,Es constante,Posibilidad,Es malo,Es un modo de reflexionar,Esquema o mapa de algo ,Es lo que una persona terca no va a transar,logica,El estado la garantiza,apoyar,Se transmite como una opción mas a considerar,Hecho cierto,,Lograr un objetivo 
El respeto por los informales determina a una persona ,Es un acto que los padres enseñan a dar a los hijos desde pequeños,Cuando una persona intimida a otra,Esta asociado a grandes subidas de peso en poco tiempo,Hacer algo por el dolor ajeno para aliviarlo,,Es una falta,Pensar antes de tomar una decisión,Diccionario ,Evitar la calma,Es una virtud,Esperar que algo resulte como uno quiere,Lo que dices para safarte de hacer algún deber,Emociòn,Ingresos mayores a gastos,Plata,algo personal e independiente de otra persona,don,Es dificil mantenerla ,Es una condicion ,Es similar a un vicio,Privilegio de perfeccionarte en una determinada área,Estado de alerta,Es un tipo de corriente,Estrategia,Estar en lo correcto,paciencia,El presidente de EE.UU la tiene más que nadie,aviso,"Si es aceptada, se transforma en una decision ",Hecho real,,Logro
Entre dos o mas personas,Es una demostración,Da inseguridad a las personas,Estado de una persona ante algo que le afecta,La gente buena la tiene mas presente,,Estado emocional previo a la búsqueda de perdón.,Posición frente a algo,El diccionario posee muchas …………..,Impotencia,Existe un juego de mesa con este nombre,Estar certeros de la situación,Manera de explicar algo,Emoción ,Las empresas poco rentable son las que tienen poca ,Puede ser material y no material,algo propio que tiene cada persona,existen muchos tipos ,Es honroso para uno,Es una tarea que uno tiene que hacer si o si,Es una enfermedad,Privilegio de poder demostrar tus habilidades y capacidades en algo muy solicitado,Estado de emergencia ante una catástrofe,Es una forma de analizar las cosas,Estrategia a implementar para conseguirun objetivo,Estar en lo correcto ,propio del ser humano,En chile se esta perdiendo,ayuda,advertencia,Honestidad,,Logros
Hay informales y formales,Es una emoción que ocurre cuando pasa algo bueno.,Da miedo ,Estado natural,Levantar a un enemigo del suelo,,Estado humano,Preferencia por algo sobre otra cosa,El significado de algo es una ,Incapacidad de actuar correctamente,Experiencia ,Expectativa de que algo bueno pueda suceder,Motivo frente a irresponsabilidad,Energía desbordante,Las personas que reciben un sueldo la tienen,Puede simular un premio,aptitud para una acción o actividad determinada ,inteligente,Es necesaria,Estar sometido a algo,Existen trastornos relacionados con este concepto ,Puede ser laboral ,Estar bajo algún tipo de riesgo,Estado que yace en la mente de las personas.,Forma de actuar ya pensada,Existen diferentes tipos ,relacionado con el pensamiento,Es algo que debes tener para poder actuar ,ayudar,aporte,Justicia,,Meta lograda
Igualdad ,Esperanza,Dañino,Estar muy exitado ,Libertad,,Fallar en algo o a alguien,Preferir,Enciclopedia ,Incapacidad de reaccionar bien frente a un problema ,Facilidad de alguien para hacer algo ,Fe,"Palabras que sirven para ""tapar"" un acto que sabes es incorrecto.",Equilibrio,Necesarias para sobrevivir,Recibir más dinero que lo que se invirtió,capacidad,la gente con discapacidad le cuesta conseguirla,Es un principio,Estudiar,Forma poco sana de querer hacer algo ,Pueden traer tanto buenas como malas consecuencias,Estar en un edificio viejo cuando hay un terremoto,Evocación de algo o alguien en la mente,Guía,Explicacion para hacer algo ,se dice de cuando una persona está en lo correcto,Es dar las gracias o devolver un favor,ayudar ,ayuda,Las personas que la usan son mas positivas,,Metas claras
Los formales pueden tener grandes consecuencias ,Expresión de gratitud hacia algo o alguien,Dificultad por enfrentar ,Esuna forma de defensa para una persona que siente miedo,Lo que tenemos al ayudar a una persona,,Generalmente hay que saciarla con alguna accion,Prioridad,Es aquello de lo que está lleno en los diccionarios.,Intranquilidad,Habilida ,Fe ,Poca credibilidad,Es contagiosa,Obtener algo ,Recompensa,capacidad de hacer algo,mide las capacidades,Es un valor,Exigencia ,"Genera placer, lo que desencadena en esto",Se dice que la gente con mayor estrato social tiene mas de esto que lo menos afortunados,Estar expuesto a una situación dañina,"Figuración mental respecto a letras, objetos, personas, cosas, etc.",Idea,Explicacion para tener una razon,se ocupa la cabeza,Es un sentimiento personal,consejo,ayudar,Lo contrario a mentira,,Motivo de orgullo 
Los formales se deben legalizar ,Felicidad ,El hombre para la naturaleza,Evitar una situación exponiendo una circunstancia x ,Misericordia,,Incomodidad,Puede tener un grado de dificultad,Es aquello que nos da el significado de una palabra u concepto.,La persona que la sienta puede estar nerviosa,Habilidad,Fe de una nueva oportunidad,Pretexto,Es tener cordura o una mente sana para actuar,Obtener un objeto o cosa de utiidad,Resultado final,capacidad de realizar algo,se trabaja para perfeccionarla,Es un valor que se adquiere cuando uno dice la verdad,Hacer algo sin cuestionar si te gusta o no hacerlo,Gusto sobreexagerado a una determinada cosa,"Se habla de esto, cuando se tiene una elección que podría generar beneficio",Este sentimiento nos lleva a la inseguridad ,Filosofia,Idea que lleva consigo pasos para lograr algo,Fue muy estudiado por Kant,sentimiento,Estabilidad,consejo ,como corregir algo,Muchas veces se le asocian a las personas que son directas con sus palabras,,Normalmente se obtiene despues de mucho esfuerzo
Negocios,Felicidad ante la situación,"En un secuestro, siempre se ……. Con matar al rehen",Falta de autocontrol,Nos ayuda a pensar en el progimo,,Infracción,Punto de inflexión,Es personal,Limite,Habilidad de realizacion ,Fe en el buen resultado de algo,Pérdida de confianza,Es tener la convicción de algo que puede ser bajo un criterio bien o mal fundamentado,Obtener un premio,Rinde,capacidad de una persona ,si se es bueno en algo se tiene desarrollado eso ,Es una virtud,Imponerle a alguien que haga algo,Idolatracion excesiva,Se toman o se dejan,Exposicion a ser dañado ,Filosofia ,Idear una forma de lograr algo ,Lo que nos hacer ser personas inteligentes,simpatia,Estado de plenitud en el que no te sientes bajo algún peligro,crítica constructiva,como hacer algo mejor,No caer en la mentira,,Poder 
Ok,Forma de recompensar algún favor,Es mala,Fijaciones ante un estimulo,Nos ayuda a ser mas solidarios,,Intenta enmendarse,Repercute ,Establecer límites,Lo sufren las personas cuando las cosas no les resultan,Habilidad para realizar algo,Felicidad,Se opone al hacer,Es un sentimiento o estado,Positiva,Riqueza obtenida,capacidad para hacer algo,son diferentes en cada persona ,Evidencia ,"Imposición de carácter legal, moral u otro tipo que tiene una persona",Las personas que lo sufren pueden llegar a situaciones extremas,"Si se da, se tiene que aprovechar",Expuesto a consecuencias negativas,Forma de hacer conciencia ,Ideas,Los animales no la tienen,vida,Estar en confianza ,darle ideas sobre algo a una persona,concejo,No existe una absoluta,,Produce felicidad
Pacto,Gracias,Es una acto,Ganas de que las cosas sucedan rápido,Nos lleva a hacer acciones por alguien,,La forma de remediarla es arreglar el motivo causante,Requiere un minimo de interes,Explicación ,Más que la preocupación,Habilidad para realizar alguna actividad en particular.,Felicidad ,Se usan cuando no se quiere asumir responsabilidad,Escuda frente a pensamientos dañinos,Puede ser material,Saldo positivo,caracteristica positiva,talento,Evitar la mentira,Lo contrario a prohibicion,Lleva a conductas asociadas con la psicopatia ,Siempre se aparecen para distintas situaciones,Falta de seguridad,Hay muchos en la mente,Mapa previo a realizar algo,Los humanos la poseemos,,Existen guardianes de esto tanto en las calles como en los recintos privados,direccionar,consejo,Pinoccio tenia que decirla para que no le crezca la nariz,,Puede tener diferente significado para cada persona
Paises realizan esto en muchas veces a lo largo de la historia,Gracias ,Esta presente,Generalmente juega en contra,Ocurre al enterarse o ver injusticias,,La sienten personas que hacen cosas malas ,Se asocia a un pensamiento ,Explicación de algún concepto,Necesidad de una solución inmediata,Habilidad para una actividad,Futuro,Se utilizan normalmente frente a un error,Estado anímico,Recompensa,Todos lo quieren lograr,característica positiva que te destaca por sobre los demás en un área,tener capacidades para hacer algo,Expresa la verdad,Lo que tus padres te imponían en casa,Los celos pueden ser una manisfestación de esto,Solucion,Fuera de salvedad,Hecho mental que nos hace recordar o surgir ideas nuevas ,Modus Operandi,Los seres humanos se caracterizan por poseer esta capacidad,,Guadaespalda,encaminar,crítica,Pocas personas lo hacen,,Que a alguien le vaya bien en la vida
Planificar algo,Gratitud,Estado de alerta,Impaciencia,Pena por alguna situaciòn,,Las personas que la sienten parten por el arrepentimiento,Se toma cuando uno debe decidir entre diferentes camino,Explicación de una palabra,Negarse a encontrar la paz,Hacer con facilidad un trabajo o actividad ,Fé,Suele ser una mentira,Estado de animo,Rentabilidad ,Un muy buen resultado,como tener capacidades para el desarrollo de artes manuales,todos las personas contamos con ella,Fiel,Los universitarios tenemos que dar pruebas aunque no nos guste,Necesidad de algo,Todos se merecen una segunda,Genera angustia y miedo en las personas,Idea,Necesarios cuando se quiere alcanzar un objetivo,Mente,,Guardias,enseñar,cuando queremos resolver algun problema,Sinceridad,,Que todo salga bien
Planificar hacer algo ,Lo decimos cuando hacen algo por nosotros,Estado que sientes al estar bajo peligro,Impaciencia ,Perdonar,,Ligado al arrepentimiento,Seguridad,Explicar caracteristicas de alguna plabara,Nerviosismo,Inteligencias,Gratitud ,acción para justificar una falta ,Estado de goce,Se obtiene luego de un gran esfuerzo,Utilidad,cualidades positivas de una persona,técnica,Frente en alto,No eres libre de elegir cuando tienes una obligación,Necesidad de hacer algo ,Un camino que puedo optar,Genera que las personas esten mas atentas,Idea en la cabeza,Organización,Motivo,,ISO9000,es una idea que  podria ser aceptada,cuando tratamos de ayudar a alguien,Suele evitar problemas,,Quienes lo logran sienten satisfacción
Promesa,Lo que uno recibe después de hacer un favor,Estrés ,Incomodidad,Perdonar ,,Lo que uno siente cuando hace algo perjudicial para otro y está arrepentido,"Si se hacen malas elecciones de sto, podemos sufrir consecuencias ",Explicar que es algo,No poder cambiar algo,La necesitan los deportistas,Ilusión sobre una situación,"al no cumplir con algo , se utiliza ",Estado de ànimo,Suma en un capital,Victoria,de poder hacer cosas,,Hechos,No es algo planeado ,No poder desconectarse de algo,Una alternativa que puedo elegir,Genera que las personas liberen adrenalina si algo sucede,Ideas,Organización ,Motivo para hacer algo ,,La brinda Carabineros ,indicar un buen camino,dar motivos para cambiar o ratificar una decision,Transparencia,,Se busca un objetivo personal
Prosperidad económica,Lo realiza una persona despues de que alguien hace algo por el,Existen muchas amenazas que no son reales,Incomodidad ,Perdonar al culpable,,Malestar,Suele generar arrepentimiento,Explicar una palabra de mejor manera ,No tener alternativas para algo importante,No involucra pensamiento ,Las cosas buenas estan por venir,algo que agrava las faltas,Estado de ánimo positivo y beneficiosos para el organismo.,Utilidad,acto de recibir algo a cambio de otra cosa,destacarse en un area,,La gente es admirada cuando es de esta forma,No es necesario estar de acuerdo para cumplirla ,No poder vivir sin algo,Una chance,Genera que las personas sean mas cuidadosas,Imaginación,Organización de acciones a seguir,Muy importante en la antigüedad,,La policia lo brinda,nueva idea,dar una opinion acerca de algo,"Uno debe siempre decirla, aunque duela",,Se necesita disposicion
Puede ser interno a una persona o externo a esta,Mencionar el aporte positivo de alguien,Forma de manipular a las personas,Inquietud ,Personas mas frias la tienen menos,,Nos ahoga,Tener certeza sobre realizar un acción,Gracias a el podemos tener un orden mental de las cosas,Palabra utilizada cuando se esta viviendo una situacion de angustia,Profesional,Las cosas estaran mejor ,alguna explicacion por haber omitido/ relizar un hecho,Estado emocional alegre,adquisición de cosas positivas,beneficio,destreza,,Las buenas personas la tienen,Parte de un contrato ,No querer compartir algo,Una solucion esperando ser tomada,Hay que tener cuidado ,Imposible de expresar en su totalidad,Pasos a seguir,Nos permite tomar desiciones correctas y no actuar por instinto,,La seguridad genera esperanza ,opinar en alguna reunion,directriz,Uno espera que los políticos siempre nos digan esto,,Se necesita esfuerzo
Puede tener un marco legal,Mientras más lo sintamos más felices somos,Genera angustia en quien la recibe,Insatisfacón,Piedad,,Nos aleja ,Tomar una definición,Hablar sobre como se forma algo o como se constituye ,Perder la calma,Práctica,Lo que nos da fuerzas para seguir adelante,alguna historia para explicar algo,Estado emocional pleno,aumento de algo,billetes,destreza ,,Ligado a la veracidad ,Parte de un fin mayor ,Nombre de unas galletas en forma de tubo rellenas con chocolate,Una via alternativa,Induce estado de alerta,Imágenes mentales,Pasos a seguir frente a una situación,Pensamiento,,Labor de los Guardias,opinion propia,elección,a veces es dificil decirla,,Se siente bien
