Palabra (concepto),Descripción,Codificación
Plan,como llegar a un punto determinado,llegar
Plan,se idea para llegar a una meta,idea
Plan,se utiliza en empresas,empresas
Excusa,forma de dar la culpa a algo por algun suceso,culpa
Excusa,falla,falla
Excusa,inventar algo para sacarse de culpa,invento
Excusa,forma de mentir porque no se cumplio algo,mentira
Éxito,felicidad,felicidad
Éxito,orgullo,orgullo
Éxito,honor,honor
Éxito,cuando uno llega a la meta como lo planeo,meta
Éxito,cuando uno cumple lo que desea ,deseo
Éxito,se relaciona con la suerte,suerte
Éxito,se requiere esfuerzo para llegar a el,esfuerzo
Éxito,lo relacionan con la felicidad,felicidad
Obsesión,fijación mantenida en el tiempo con un objeto o persona,fijación
Obsesión,Puede constituir una enfermedad mental,enfermedad
Obsesión,provoca deseo por algo o alguien,deseo
Plan,forma estructurada de hacer las cosas,estructura
Plan,ayuda a definir tareas o actividdes a realizar,ayuda
Plan,define metodos y caminos para llegar a un objetivo,método
Plan,estrategia,estrategia
Compasión,sentirse afectado por las miserias del projimo,empatía
Compasión,voluntad de ayudar al projimo en problemas,ayuda
Compasión,esta relacionado con la empatia,empatía
Desesperación,sufrimiento por no encontrar salida de una situación problemática,sufrimiento
Desesperación,Sucede cuando no se ven caminos posibles a seguir,no camino
Desesperación,siente que todo esta mal y no hay forma de mejorarlo,no mejoría
Esperanza,Sentimiento que asegura que todo mejorará en algun momento,mejorar
Esperanza,Las cosas buenas estan por venir,bien
Esperanza,es lo ultimo que se pierde,lo último que se pierde
Esperanza,fuerza motora cuando las cosas estan mal,fuerza
Razón ,habilidad cognitiva unicamente poseida por el ser humano,habilidades
Razón ,característica determinante de la existencia del ser humano,características
Razón ,relacionado con el pensamiento,pensamiento
Razón ,se dice de cuando una persona está en lo correcto,correcto
Oportunidad,opcion viable del actuar,opción
Decisión,escoger una de las diferentes opciones,elección
Decisión,exige compromiso con lo escogido,compromiso
Decisión,sucede luego de un analisis de las opciones,análisis
Decisión,opciones,opinión
Decisión,compromiso,compromiso
Peligro,situacion en la que hay que tener cuidado,cuidado
Peligro,precaución,precaución
Peligro,situacion que hay que evitar,evitación
Ansiedad,puede ser un problema sicológico,problemas
Ansiedad,produce ataques,cambio corporal
Compasión,acto que trata de aliviar el sufriemto de otro.,alivio
Obsesión,obstinamiento sobre algo o alguien.,obstinación
Verdad,correcto,correcto
Verdad,algo que se piensa y se corrobora empiricamente,pensamiento
Verdad,realidad y pensamientos alineados,real
Verdad,real,real
Pensamiento,lo que esta en la mente,mente
Pensamiento,idea de una persona sobre otra,idea
Pensamiento,no tangible,abstracción
Culpa,remordimiento,remordimiento
Culpa,sentimiento de hacer algo malo,mal
Culpa,habilidad que tiene una persona de darse cuenta de que hizo algo erroneo,habilidades
Desesperación,perdida de esperanza,desesperanza
Desesperación,no tener paciencia,impaciencia
Desesperación,no tener tranquilidad de animo,intranquilidad
Honestidad,honradez,honradez
Honestidad,actuar de acuerdo a lo que se piensa y siente,acuerdo
Excusa,argumento para justificar un actuar,argumentación
Excusa,justificación,justificación
Acuerdo,contrato,contrato
Acuerdo,pacto,pacto
Acuerdo,tratado,tratado
Acuerdo,convenio,convenio
Seguridad,sentimiento de tranquilidad,tranquilidad
Seguridad,ausencia de riesgo,no riesgo
Esperanza,tener pensamientos positivos de que algo puede suceder,positivo
Esperanza,querer que suceda algo esperado,querer
Esperanza,tener fe en una situacion,fe
Esperanza,ser positivo,positivo
Decisión,tener opciones y tener que tomar una,opción
Definición,le da sentido a las cosas,sentido
Definición,se busca en diccionarios para comprender las palabras,diccionario
Definición,"cuando uno no entiende una palabara, uno busca su",palabra
Plan,idea o guia de como una situacion se llevara a cabo,idea
Plan,oficiales y militares los ocupan para los rescates,militar
Agradecimiento,la accion de dar las gracias,gratitud
Éxito,Al hacer una actividad se busca eso,búsqueda
Éxito,puede ser laboral o sentimental,laboral
Éxito,se logra un objetivo,objetivos
Éxito,un cantante cuando tiene muchos seguidores,seguidores
Éxito,cuando una persona se mentaliza con algo y despues lo logra,mentalización
Éxito,hay que recorrer un camino para llegar ,camino
Amenaza,algo malo,mal
Amenaza,cuando alguien te ataca ,ataque
Amenaza,decirle a otra persona que lo va a atacar ,advertencia
Amenaza,"son solo palabras, antes de que atacar",ataque
Razón ,se ocupa la cabeza,cabeza
Razón ,es objetivo,objetividad
Razón ,"cuando dos personas discute, y uno esta en lo cierto",cierto
Razón ,cuestionar algo,cuastionamiento
Razón ,debatir algo,debate
Obsesión,descontrolado,descontrol
Obsesión,un objetivo que se busca,objetivos
Peligro,susto,susto
Peligro,sentirse mal por algo,mal
Peligro,atacado por algo,ataque
Peligro,sentir una amenaza ,amenaza
Compasión,se siente por una persona,persona
Compasión,sentimiento por alguien cuando esta mal,mal
Compasión,se trata de evitar el dolor ajeno,evitación
Compasión,entre dos personas ,dos o más partes
Compasión,sentir tristeza por otra persona o cosa,tristeza
Acuerdo,un pacto entre dos personas,pacto
Acuerdo,puede ser verbal o escrito,verbal/escrito
Acuerdo,algo en común,común
Desesperación,no tener control,incontrolable
Desesperación,una persona se siente asi,personal
Desesperación,no controlar los actos ,incontrolable
Desesperación,no tener esperanza ,desesperanza
Desesperación,no tener paciencia,impaciencia
Agradecimiento,estar contento con otra persona,felicidad
Agradecimiento,se siente bien por algo que hizo otra persona,bien
Agradecimiento,se puede tener el sentimiento o realizar un acto,sentimiento
Plan,una forma de ordenar la vida ,orden
Plan,"organizar las actividades de una semana, mes o año",organización
Plan,las compañias de telefono te lo ofrece,telefonía
Plan,organización,organización
Plan,una forma de ordenar,orden
Plan,hay actividades,actividades
Plan,se puede comprar ,comprar
Plan,Estrategia,estrategia
Plan,Ponerse de acuerdo,acuerdo
Plan,Organización,organización
Plan,Elaborar un procedimiento,procedimiento
Plan,establecer pasos,pasos
Plan,Receta,receta
Plan,Antes de ejecutar,anticipación
Plan,Mapa previo a realizar algo,mapa
Plan,Analizar todo antes de hacer,análisis
Seguridad,Confianza,confianza
Seguridad,La policia lo brinda,policias
Seguridad,hay guardias que se dedican a ello,guardias
Seguridad,El estado la garantiza,estado
Seguridad,Sin riesgo,no riesgo
Seguridad,Percepción del peligro,peligro
Seguridad,Paz,paz
Razón ,Coherencia,coherencia
Razón ,Esta en el lema patrio de Chile,lema patrio
Razón ,El que gana una discusión la tiene,ganar
Razón ,La gente loca la pierde,no locura
Peligro,Riesgo,riesgo
Peligro,Estar expuesto a una situación dañina,daño
Peligro,Algo que puede salir mal,mal
Peligro,Tirarse en parapante lo es.,deporte extremo
Oportunidad,Una alternativa que puedo elegir,alternativa
Oportunidad,Una chance,chance
Oportunidad,Un camino que puedo optar,camino
Oportunidad,Una via alternativa,alternativa
Oportunidad,Comprar algo en una oferta flash,oferta
Oportunidad,Todos se merecen una segunda,segunda
Oportunidad,una opción,opción
Compasión,Empatía,empatía
Compasión,Colocarse en el lugar del otro,empatía
Compasión,Contrario a la venganza,no venganza
Compasión,Perdonar,perdón
Compasión,Ser benevolo,bondad
Compasión,Levantar a un enemigo del suelo,enemigo
Desesperación,Impotencia,impotencia
Desesperación,Sobreexagerar una situación,sobre exageración
Desesperación,No tener alternativas para algo importante,no acción
Desesperación,No poder cambiar algo,no acción
Desesperación,Perder la calma,intranquilidad
Desesperación,Contrario a relajado,intranquilidad
Agradecimiento,Responder a una ayuda,ayuda
Agradecimiento,Gratitud,gratitud
Agradecimiento,Reconocer la ayuda de los demás,reconocimiento
Agradecimiento,Mencionar el aporte positivo de alguien,positivo
Agradecimiento,Ser educado,educación
Obligación,Un deber que hay que cumplir,deber
Obligación,Una responsabilidad que se tiene,responsabilidad
Obligación,Algo que hay que realizar por un compromiso,compromiso
Obligación,Imponerle a alguien que haga algo,imposición
Obsesión,Cegarse a algo,ceguera
Obsesión,Actuar irracionalmente ,irracional
Obsesión,Querer algo por sobre todas las cosas,querer
Obsesión,Desear algo a toda costa,deseo
Acuerdo,consigue un beneficio para al menos uno de los participantes,beneficios
Ganancia ,implica beneficio para un individuo,beneficios
Verdad,carácter subjetivo,subjetivo
Verdad,puede ser recomfortante o perturbadora,bien/mal
Verdad,buscada por gran cantidad de gente,búsqueda
Excusa,mal vista por la sociedad,mal
Excusa,usada para justificar malas acciones ,justificación
Excusa,empleada por gente irresponsable,irresponsabilidad
Esperanza,sentimiento positivo ,positivo
Esperanza,experimentado en momentos de dificultad,dificultad
Esperanza,tema presente en la religion,religión
Ansiedad,experimentado en situaciones estresantes ajenas al individuo,estrés
Ansiedad,falta de adaptacion por parte del individuo,desadaptación
Ansiedad,experimentada por todos en algun momento,todos
Honestidad,caracteristica vista como positiva,positivo
Honestidad,otorga congruencia al actuar del individuo,congruencia
Honestidad,ayuda a mantener relaciones saludables con otras personas,ayuda
Honestidad,persona que la ejerce se considera como confiable,confianza
Obsesión,forma de actuar respecto a alguna cosa ,acción
Obsesión,connotación negativa,negativo
Obsesión,se ejerce hacia una persona u objeto,persona/objeto
Obsesión,se trata como un problema que se necesita corregir,problemas
Obsesión,incapacidad de concentrarse en alguna otra cosa,atención
Pensamiento,capacidad humana,humano
Pensamiento,se ejerce en cada momento consciente,conciencia
Pensamiento,proceso que consume energia ,gasto energético
Pensamiento,culmina en la formacion de ideas,idea
Sugerencia ,idea transferida a otra persona,idea
Sugerencia ,percepcion de ser una mejor idea que la que la otra persona posee,idea
Sugerencia ,intencion positiva con fin de ayudar,ayuda
Sugerencia ,puede ser respondida de manera agresiva por el receptor,agresión
Felicidad,Sensación positiva,postivo
Felicidad,Estado anímico,ánimo
Felicidad,Deseo del ser humano,deseo
Felicidad,Caracteristico del ser humano,humano
Felicidad,Alegría,alegría
Felicidad,Bien estar,bienestar
Felicidad,Equilibrio,equilibrio
Desesperación,Incapacidad de reaccionar bien frente a un problema ,incapacidad
Desesperación,Incapacidad de actuar correctamente,incapacidad
Desesperación,Cólera,cólera
Desesperación,Alteración del ánimo,alteración
Desesperación,Pérdida de esperanza,desesperanza
Éxito,Logros,logro
Éxito,Triunfos,triunfo
Éxito,Cumplimiento de metas personales,cumplimiento
Éxito,Aspiración ,aspiraciones
Peligro,Dañino,daño
Peligro,Poco o no seguro,inseguridad
Culpa,Sensación de remordimiento del ser humano,remordimiento
Culpa,Sentimiento de falta luego de cometer un acto intencionalmente,intención
Culpa,Responsabilizarse de nuestras acciones,responsabilidad
Habilidad,Capacidad(es) que destacan a una persona del resto,capacidad
Habilidad,Caracteristica(s) que destaca(n) a una persona del resto,características
Habilidad,La manera en que alguien o algo realiza una acción,manera
Habilidad,Diferenciación ,diferenciación
Definición,Descripción de algo o alguien,descripción
Definición,Caracteristicas de algo o alguien ,caracterización
Definición,Significado de algo o alguien,significado
Oportunidad,Ocasión conveniente,conveniencia
Seguridad,proteger,protección
Seguridad,acoger,acogedor
Seguridad,Sensación de tranquilidad ,tranquilidad
Seguridad,no peligroso,no peligro
Seguridad,no dañino,no daño
Honestidad,Verdadero ,verdad
Honestidad,Fiel,fiel
Honestidad,Correcto,correcto
Honestidad,Caracteristica del ser humano,características
Honestidad,No da cabida a la mentira,no mentir
Compasión,se siente por otras personas,otro/alguien
Compasión,solidaridad,solidaridad
Compasión,entiendes el lugar del otro,entendimiento
Compasión,lo sientes cuando la persona pasa por algo negativo,negativo
Compasión,el sentimiento es positivo,positivo
Compasión,permite que personas ayuden a otras,ayuda
Compasión,caridad,caridad
Amenaza,rabia,rabia
Amenaza,intimidación,intimidación
Amenaza,se desea algo negativo hacia otra persona,mal
Amenaza,ira,irá
Amenaza,enojo,enojo
Amenaza,tiene la intención de impedir algo,disuasión
Amenaza,hace sentir invulnerabilidad ,invulnerable
Seguridad,estabilidad,estabilidad
Seguridad,confort,confort
Seguridad,protección,protección
Seguridad,uno se siente bien,bien
Seguridad,guardias,guardias
Seguridad,escudos,escudo
Seguridad,alarmas,alarma
Seguridad,los criminales la violan,criminales la violan
Seguridad,confianza,confianza
Éxito,triunfo,triunfo
Éxito,cuando las cosas te salen bien,bien
Éxito,sentimiento positivo,positivo
Éxito,cuando logras algo,logro
Éxito,satisfacción,satisfacción
Éxito,goce,gozo
Excusa,tiene la idea de evitar algo,evitación
Excusa,mentira,mentira
Excusa,justificación,justificación
Excusa,invento,invento
Excusa,falsedad,falsedad
Excusa,poca honestidad,no honestidad
Excusa,falta de mea culpa,no mea culpa
Desesperación,fobia,fobia
Desesperación,no saber que hacer,no acción
Desesperación,se busaca escapar de esa situación,escape
Desesperación,sentimiento negativo,negativo
Sugerencia ,presentar una opción,opción
Sugerencia ,incitar algo,incitación
Sugerencia ,ayuda,ayuda
Sugerencia ,aporte,aporte
Sugerencia ,una opción,opción
Sugerencia ,elección,elección
Sugerencia ,posibilidad,posibilidad
Sugerencia ,oportunidad,oportunidad
Peligro,se escapa de ello,escape
Peligro,daño,daño
Peligro,miedo,miedo
Peligro,exposición,exposición
Peligro,factores de riesgo,riesgo
Peligro,puede provocar muerte,muerte
Peligro,inseguridad,inseguridad
Honestidad,sinceridad,sinceridad
Honestidad,se asocia al color blanco,blanco
Honestidad,transparencia,transparencia
Honestidad,se busca en las personas,búsqueda
Honestidad,contrario al engaño,no mentir
Honestidad,contraria a la mentira,no mentir
Felicidad,alegría,alegría
Felicidad,gozo,gozo
Felicidad,se busca esta emoción,emoción
Felicidad,emoción positiva,positivo
Felicidad,se ve todo positivo,positivo
Felicidad,contraria a la tristeza,no tristeza
Felicidad,máxima satisfacción,satisfacción
Obligación,Deber que tiene una persona ,deber
Obligación,"Imposición de carácter legal, moral u otro tipo que tiene una persona",imposición
Obligación,No eres libre de elegir cuando tienes una obligación,no voluntad
Obligación,Hacer algo sin cuestionar si te gusta o no hacerlo,hacer
Ansiedad,Intranquilidad por algo pendiente o no resuelto,intranquilidad
Ansiedad,Se asocia con pensamientos repetitivos sobre algo ,repetición
Ansiedad,movimientos repetitivos y rápidos (mover el pie y el lápiz),cambio corporal
Ansiedad,Angustia intolerable de la que uno no se hace cargo ,angustia
Ansiedad,Poca tolerancia ,no tolerencia
Agradecimiento,Gratitud,gratitud
Agradecimiento,Reconocimiento hacia algo o alguien por sentirme bien,reconocimiento
Agradecimiento,Sensación de placer,placer
Agradecimiento,Felicidad ,felicidad
Agradecimiento,Reconocer las cosas buenas que me pasan en la vida ,reconocimiento
Agradecimiento,Dar las gracias,gratitud
Compasión,"Ponerse en el sentimiento del otro, como el otro lo siente",empatía
Compasión,Empatía,empatía
Compasión,Acompañar al otro en el sentimiento de dolor,acompañamiento
Compasión,Hacer algo por el dolor ajeno para aliviarlo,alivio
Compasión,Contener a otro ,contención
Compasión,Uno se conmueve por el dolor o la angustia de otro ,empatía
Culpa,Sentir responsabilidad por algo malo que paso o se hizo,responsabilidad
Culpa,Pena y angustia,pena
Culpa,Pedir perdón,perdón
Culpa,Fallar en algo o a alguien,falla
Culpa,Sensación de haber herido a otra persona ,herido
Culpa,Carga,carga
Culpa,Remordimiento,remordimiento
Culpa,Agobio por algo que no se puede cambiar,agobio
Culpa,Arrepentimiento,arrepentimiento
Culpa,Reconocer que se hace algo malo ,mal
Destreza,Habilidad,habilidades
Destreza,Facilidad de alguien para hacer algo ,facilidad
Destreza,Algo que se hace bien,bien
Destreza,Talento ,talento
Pensamiento,Imágenes mentales,mente
Pensamiento,Reflexión,reflexión
Pensamiento,Mente y cerebro ,mente
Pensamiento,Relacionado con la racionalidad o razón,razonamiento
Pensamiento,Evocación de algo o alguien en la mente,mente
Pensamiento,Trabajo mental,mente
Pensamiento,"Simbolizar, recordar o imaginar el futuro",simbolizar
Pensamiento,Buscar información en la mente,información
Pensamiento,Se usa o es útil para decidir,decisión
Pensamiento,Analizar ,análisis
Plan,Esquema o mapa de algo ,esquema
Plan,Revisar con anticipación una situación ,anticipación
Plan,Pasos a seguir frente a una situación,pasos
Plan,Conjunto de instrucciones que dicen quá hacer ,confort
Decisión,Hay opciones,opción
Decisión,Preferencia por algo sobre otra cosa,preferencia
Decisión,Pensar antes de tomar una decisión,elección
Decisión,Determinación ,determinación
Decisión,Aceptar la pérdida de lo que no se escoge ,aceptación
Decisión,Posición frente a algo,posición
Amenaza,Algo que puede dañar ,daño
Amenaza,Da miedo ,miedo
Amenaza,Estrés ,estrés
Amenaza,Te pone en alerta para reaccionar,alerta
Amenaza,Te puede quitar tu bienestar ,no bienestar
Amenaza,Potencial peligro ,peligro
Decisión,elección personal,elección
Decisión,concretar una acción,acción
Decisión,afirmación acerca de algo que se elige,afirmación
Obsesión,fijación por algo o alguien ,fijación
Obsesión,es un trastorno compulsivo ,trastorno
Peligro,situación de vulnerabilidad,vulnerabilidad
Peligro,estar en una situación de riesgo,riesgo
Peligro,hay algo que puede ser dañino,daño
Peligro,es necesario ponerse a salvo ante él,a salvo
Felicidad,estado de extasis maximo,éxtasis
Felicidad,sentimiento positivo,positivo
Plan,acuerdo de algo,acuerdo
Plan,necesita de una planificación previa,planificación
Destreza,habilidad para realizar algo,habilidades
Destreza,requiere de ingenio,ingenio
Definición,descripción de algo,descripción
Definición,permite conocer conceptos,entendimiento
Compasión,sentir sensibilidad por algo o alguien,sensibilidad
Compasión,apiadarse de algo o alguien,piedad
Compasión,es un sentimiento positivo,postitivo
Compasión,compadecerse de algo,compasión
Compasión,apiadarse de algo o alguien,piedad
Agradecimiento,sentimiento positivo,positivo
Agradecimiento,sentir gratitud hacia alguien o algo,gratitud
Amenaza,actitud que anticipa violencia,violencia
Amenaza,Actitud usada para crear miedo,miedo
Amenaza,gesto fuerte para amedrentar a otro,intimidación
Amenaza,"aviso de que se no se cambia la actitud, acción, etc. sucedera algo",advertencia
Amenaza,gesto que crear miedo en el otro para evitar una accion de el,miedo
Amenaza,fuerza verbal para impedir que el otro haga algo,intimidación
Amenaza,los narcotraficantas lo hacen para que sus lacayos no hablen,delincuencia
Destreza,caracteristica fisica que permite moverse con agilidad,características
Destreza,se relaciona con agilidad y fuerza,agilidad/fuerza
Destreza,combinacion entre agilidad y fuerza,agilidad/fuerza
Destreza,para trepar arboles se necesita gran,agilidad/fuerza
Destreza,simbolo de alguien bien preparado fisicamente,preparación
Destreza,para movimientos bruzcos necesito agilidad y,agilidad/fuerza
Destreza,habilidad principal para escalar muros,habilidades
Pensamiento,platon desarrollaba un gran,filosofía
Pensamiento,nunca puedes dejar de tenerlo en la cabeza,no terminan
Pensamiento,en grecia era el motor principal de los filosofos,grecia
Pensamiento,las ideas surgen de,idea
Pensamiento,nadie puede leerte los,no leíble
Pensamiento,de ellos surge la imaginacion,imaginación
Pensamiento,muchas veces son críticos y analiticos,críticos
Pensamiento,habilidad principal del hombre,habilidades
Pensamiento,el hombre es un ser,ser
Pensamiento,el yoga intenta alejarte de cualquiera de ellos,alejamiento
Seguridad,ISO9000,norma
Seguridad,resguardo,resguardo
Seguridad,tus padres te brindan una gran,padres
Seguridad,razon por la cual no guardo el dinero debajo del colchon,precaución
Seguridad,los ladrones la alteran,criminales la violan
Seguridad,muchas casas ponen rejas y cercado para dar mas,rejas
Seguridad,algunas personas son mas timidas por ser mas,timidez
Seguridad,sentimiento de desproteccion,desprotección
Seguridad,proteccion,protección
Agradecimiento,si me regalan un notebook estaré,regalo
Agradecimiento,siempre que alguien hace algo por mi estoy,otro/alguien
Agradecimiento,gracias,gratitud
Agradecimiento,si ayudo a otro este me,ayuda
Agradecimiento,en general uno tiene que ser de esta forma con quien te atiende,forma
Agradecimiento,actitud hacie quien te ayuda en general,actitud
Agradecimiento,actitud hacia alguien que me trata de forma amable,amabilidad
Agradecimiento,respuesta a una amabilidad,amabilidad
Agradecimiento,forma de compensar una buena accion hacia ti,bien
Peligro,lo siento cuando hay un ladron cerca,delincuencia
Peligro,sentimiento que alerta de que algo malo pasara,mal
Peligro,cuando alguien maneja mal es un ,manejar mal
Peligro,manejo mas alcholo es un,manejar con alcohol
Peligro,isic lo es para la humanidad,terrorismo
Peligro,premonicion de guerra genera,guerras
Peligro,sale en carteles cerca de hoyos,advertencia
Esperanza,un niño es una,niños
Esperanza,toda persona con enfermedad terminal tiene,enfermedad terminal
Esperanza,si tengo cancer lo ultimo que pierdo es,lo último que se pierde
Esperanza,lo ulitmo que se pierde es la,lo último que se pierde
Esperanza,sentimiento de que siempre se puede algo mas,más
Esperanza,actitud que empuja a ir mas alla,actitud
Plan,estrategia,estrategia
Plan,estrategia para conseguir algo,estrategia
Plan,suceso de pasos para lograr objetivo,pasos
Plan,es como un camino para alcanzar algo,camino
Plan,uno en claro elige un,elección
Plan,es lo que pago alfinal de mes en entel,telefonía
Ansiedad,sentimiento de querer que todo pase ahora,rápidez
Ansiedad,querer alcanzar el futuro,querer
Ansiedad,espera larga te pone,esperar
Ansiedad,cuando quieres que algo pase rapido,rápidez
Ansiedad,querer todo ahora,querer
Ansiedad,querer anticipar el futuro,querer
Ansiedad,la gente muchas veces come por,comer
Acuerdo,estamos de,acuerdo
Acuerdo,se necesita para avanzar en politica,necesario
Acuerdo,se genera por consentimiento de dos posturas,consentimiento
Acuerdo,cuando dos paises llegan a un,países
Amenaza,La recibes si haces algo que desagradó a otra persona,ofensa
Amenaza,Puede ser física o verbal,físico/verbal
Amenaza,"Si la recibimos, vivimos más alerta",alerta
Destreza,Habilidad para realizar algo,habilidades
Destreza,Puede mejorar con entrenamiento,entrenamiento
Pensamiento,Ideas,idea
Pensamiento,Imaginación,imaginación
Pensamiento,Nos permite planificar,planificación
Seguridad,Sensación de protección,protección
Seguridad,Confianza,confianza
Seguridad,Autoafirmación,autoafirmación
Seguridad,Despreocupación,despreocupación
Seguridad,Las madres y/o nos provocan ese sentimiento,padres
Agradecimiento,Expresión de gratitud hacia algo o alguien,gratitud
Agradecimiento,Lo decimos cuando hacen algo por nosotros,otro/alguien
Agradecimiento,Mientras más lo sintamos más felices somos,felicidad
Peligro,Amenaza,amenaza
Peligro,La vida corre un riesgo,riesgo
Esperanza,Es lo último que se pierde,lo último que se pierde
Esperanza,Lo que nos impulsa,impulso
Esperanza,Fe en el buen resultado de algo,fe
Esperanza,Motivación,motivación
Esperanza,Creer que algo saldrá bien contra todo pronóstico,creencia
Plan,Esquema,esquema
Plan,Pasos a seguir,pasos
Plan,Guía,guía
Plan,Organización de acciones a seguir,organización
Ansiedad,Sensación de inseguridad,inseguridad
